,job_id,build_target,build_tool,build_canceled_open_pr_on_branch
183,229369995,BUILD,['maven'],False
184,158220729,CI,['maven'],False
185,116698653,IT,['maven'],False
186,145799354,,[],False
187,227870260,WEB_TESTS,"['yarn', 'jest']",False
188,508993073,BUILD,"['gradle', 'yarn']",False
189,209250396,,[],False
190,106227940,IT,['maven'],False
191,269938822,BUILD,[],False
192,57498649,,['maven'],False
193,109834698,,,
194,129976717,IT,['maven'],False
195,241210973,WEB_TESTS,"['yarn', 'jest']",False
196,143280296,CI,['maven'],False
197,75093752,,['maven'],False
198,221273143,WEB_TESTS,"['yarn', 'jest']",False
199,93890708,WEB,['mocha'],False
200,92759327,,['maven'],False
201,102010341,IT,['maven'],False
202,177045312,,,
203,151260701,WEB,['mocha'],False
204,254333635,BUILD,[],True
205,114234147,CI,['maven'],False
206,73504759,,['maven'],False
207,255950442,WEB_TESTS,"['yarn', 'jest']",False
208,121202086,IT,['maven'],False
209,75610596,,['maven'],False
210,119470015,IT,['maven'],False
211,108532434,IT,['maven'],False
212,139144162,CI,['maven'],False
213,129081626,,,
214,204164251,WEB_TESTS,['yarn'],False
215,344858323,BUILD,[],True
216,353242576,WEB_TESTS,"['yarn', 'jest']",False
217,96074345,IT,['maven'],False
218,106791579,IT,['maven'],False
219,237200211,WEB_TESTS,"['yarn', 'jest']",False
220,168912350,CI,['maven'],False
221,120951415,IT,['maven'],False
222,341354097,BUILD,['maven'],False
223,65399451,,['maven'],False
224,81129770,,['maven'],False
225,213460364,BUILD,['maven'],False
226,92718184,,,
227,242481904,WEB_TESTS,"['yarn', 'jest']",False
228,267081070,WEB_TESTS,"['yarn', 'jest']",False
229,291498448,BUILD,[],False
230,125870883,CI,['maven'],False
231,202559866,,[],False
232,213947832,,,
233,322565065,WEB_TESTS,"['yarn', 'jest']",False
234,72181162,,['maven'],False
235,107972546,IT,['maven'],False
236,105158748,IT,['maven'],False
237,270436527,WEB_TESTS,[],True
238,71800099,,['maven'],False
239,279943882,WEB_TESTS,"['yarn', 'jest']",False
240,279547024,BUILD,[],False
241,131490056,IT,['maven'],False
242,675010850,WEB_TESTS,"['gradle', 'yarn', 'jest']",False
243,76464274,,['maven'],False
244,56881441,,['maven'],False
245,311947861,WEB_TESTS,"['yarn', 'jest']",False
246,78359871,,['maven'],False
247,107190181,WEB,['mocha'],False
248,116768149,IT,['maven'],False
249,180390271,,,
250,339016965,BUILD,[],True
251,231468493,BUILD,['maven'],False
252,156579310,CI,['maven'],False
253,69452955,,['maven'],False
254,181599870,,,
255,107747171,CI,['maven'],False
256,74547843,,,
257,329838597,WEB_TESTS,[],True
258,236305247,WEB_TESTS,"['yarn', 'jest']",False
259,90919551,,[],False
260,81612487,,['maven'],False
261,280810679,BUILD,['maven'],False
262,73556869,,['maven'],False
263,156645417,CI,['maven'],False
264,242033602,WEB_TESTS,[],True
265,116356870,WEB,['mocha'],False
266,114485677,IT,['maven'],False
267,149838649,CI,['maven'],False
