,from_tag,to_tag,buildid
271,5.1.2,5.2,74573049
272,5.1.2,5.2,74588464
273,5.1.2,5.2,66515551
274,5.1.2,5.2,74600145
275,5.1.2,5.2,74875484
276,5.1.2,5.2,74880343
277,5.1.2,5.2,74904911
278,5.1.2,5.2,74910452
279,5.1.2,5.2,74910549
280,5.1.2,5.2,75258101
281,5.1.2,5.2,69110181
282,5.1.2,5.2,67532428
283,5.1.2,5.2,67538821
284,5.1.2,5.2,67539061
285,5.1.2,5.2,65236680
286,5.1.2,5.2,65371974
287,5.1.2,5.2,65397832
288,5.1.2,5.2,67852285
289,5.1.2,5.2,68295000
290,5.1.2,5.2,67210118
291,5.1.2,5.2,67540335
292,5.1.2,5.2,67846019
293,5.1.2,5.2,67850983
294,5.1.2,5.2,67965647
295,5.1.2,5.2,67995479
296,5.1.2,5.2,68010886
297,5.1.2,5.2,68352235
298,5.1.2,5.2,68359163
299,5.1.2,5.2,68467776
300,5.1.2,5.2,68475073
301,5.1.2,5.2,68275821
302,5.1.2,5.2,68291576
303,5.1.2,5.2,68294840
304,5.1.2,5.2,66991300
305,5.1.2,5.2,67022251
306,5.1.2,5.2,67198854
307,5.1.2,5.2,67213297
308,5.1.2,5.2,67328410
309,5.1.2,5.2,65232627
310,5.1.2,5.2,65392752
311,5.1.2,5.2,65401102
312,5.1.2,5.2,67973279
313,5.1.2,5.2,68145576
314,5.1.2,5.2,66059070
315,5.1.2,5.2,66068882
316,5.1.2,5.2,66239950
317,5.1.2,5.2,66344575
318,5.1.2,5.2,66198007
319,5.1.2,5.2,66062718
320,5.1.2,5.2,66064810
321,5.1.2,5.2,66075344
322,5.1.2,5.2,66075657
323,5.1.2,5.2,66179375
324,5.1.2,5.2,66186349
325,5.1.2,5.2,66186742
326,5.1.2,5.2,66514354
327,5.1.2,5.2,66247884
328,5.1.2,5.2,66338070
329,5.1.2,5.2,66338161
330,5.1.2,5.2,66014999
331,5.1.2,5.2,65539174
332,5.1.2,5.2,65364311
333,5.1.2,5.2,83276692
334,5.1.2,5.2,83310042
335,5.1.2,5.2,87615679
336,5.1.2,5.2,87619345
337,5.1.2,5.2,83657834
338,5.1.2,5.2,83669530
339,5.1.2,5.2,83681612
340,5.1.2,5.2,87465160
341,5.1.2,5.2,87618589
342,5.1.2,5.2,83683637
343,5.1.2,5.2,83687711
344,5.1.2,5.2,83284287
345,5.1.2,5.2,83293193
346,5.1.2,5.2,83294139
347,5.1.2,5.2,83298860
348,5.1.2,5.2,86641821
349,5.1.2,5.2,86777394
350,5.1.2,5.2,83698983
351,5.1.2,5.2,83713412
352,5.1.2,5.2,83840190
353,5.1.2,5.2,83670163
354,5.1.2,5.2,86388904
355,5.1.2,5.2,86585063
356,5.1.2,5.2,86589778
357,5.1.2,5.2,86590667
358,5.1.2,5.2,86643431
359,5.1.2,5.2,86644072
360,5.1.2,5.2,86662484
361,5.1.2,5.2,83066999
362,5.1.2,5.2,83078291
363,5.1.2,5.2,83085931
364,5.1.2,5.2,83088404
365,5.1.2,5.2,83098025
366,5.1.2,5.2,83305924
367,5.1.2,5.2,83323150
