,from_tag,to_tag,buildid
216,5.1.2,5.2,71038928
217,5.1.2,5.2,71038939
218,5.1.2,5.2,71040170
219,5.1.2,5.2,71040178
220,5.1.2,5.2,71040943
221,5.1.2,5.2,71040955
222,5.1.2,5.2,71041937
223,5.1.2,5.2,71041947
224,5.1.2,5.2,71042490
225,5.1.2,5.2,71042498
226,5.1.2,5.2,71046214
227,5.1.2,5.2,71046374
228,5.1.2,5.2,71046383
229,5.1.2,5.2,71048778
230,5.1.2,5.2,71064512
231,5.1.2,5.2,71070348
232,5.1.2,5.2,71075118
233,5.1.2,5.2,71078212
234,5.1.2,5.2,71083179
235,5.1.2,5.2,71089745
236,5.1.2,5.2,71097441
237,5.1.2,5.2,71097465
238,5.1.2,5.2,71098021
239,5.1.2,5.2,71098038
240,5.1.2,5.2,71205566
241,5.1.2,5.2,71208245
242,5.1.2,5.2,71209093
243,5.1.2,5.2,71209101
244,5.1.2,5.2,71211174
245,5.1.2,5.2,71211182
246,5.1.2,5.2,71211577
247,5.1.2,5.2,71220663
248,5.1.2,5.2,71225515
249,5.1.2,5.2,71225532
250,5.1.2,5.2,71226334
251,5.1.2,5.2,71236637
252,5.1.2,5.2,71239871
253,5.1.2,5.2,71240913
254,5.1.2,5.2,71271756
255,5.1.2,5.2,71305148
256,5.1.2,5.2,71311010
257,5.1.2,5.2,71312566
258,5.1.2,5.2,71319392
259,5.1.2,5.2,71333645
260,5.1.2,5.2,71378614
261,5.1.2,5.2,71378970
262,5.1.2,5.2,71379492
263,5.1.2,5.2,71382617
264,5.1.2,5.2,71386535
265,5.1.2,5.2,71387281
266,5.1.2,5.2,71388020
267,5.1.2,5.2,71388430
268,5.1.2,5.2,71393472
269,5.1.2,5.2,81593942
270,5.1.2,5.2,81593980
271,5.1.2,5.2,81595549
272,5.1.2,5.2,81604778
273,5.1.2,5.2,81604791
274,5.1.2,5.2,81605393
275,5.1.2,5.2,81605403
276,5.1.2,5.2,81605958
277,5.1.2,5.2,81606104
278,5.1.2,5.2,81608522
279,5.1.2,5.2,81608549
280,5.1.2,5.2,81608575
281,5.1.2,5.2,81612480
282,5.1.2,5.2,81616062
283,5.1.2,5.2,81617176
284,5.1.2,5.2,81619736
285,5.1.2,5.2,81619857
286,5.1.2,5.2,81621549
287,5.1.2,5.2,81626025
288,5.1.2,5.2,81632354
289,5.1.2,5.2,81632509
290,5.1.2,5.2,81913281
291,5.1.2,5.2,81941352
292,5.1.2,5.2,81943821
293,5.1.2,5.2,81966060
294,5.1.2,5.2,81966073
295,5.1.2,5.2,82002282
296,5.1.2,5.2,82100587
297,5.1.2,5.2,82100611
298,5.1.2,5.2,82100689
299,5.1.2,5.2,82103707
300,5.1.2,5.2,82103719
301,5.1.2,5.2,82108543
302,5.1.2,5.2,82108559
303,5.1.2,5.2,82111901
304,5.1.2,5.2,82111918
305,5.1.2,5.2,82112604
306,5.1.2,5.2,82113917
307,5.1.2,5.2,82113995
308,5.1.2,5.2,82114413
309,5.1.2,5.2,82116247
310,5.1.2,5.2,82116267
311,5.1.2,5.2,82122997
312,5.1.2,5.2,82123014
313,5.1.2,5.2,82124120
314,5.1.2,5.2,82124133
315,5.1.2,5.2,82124388
316,5.1.2,5.2,82124739
317,5.1.2,5.2,82124760
318,5.1.2,5.2,82131430
319,5.1.2,5.2,82131446
320,5.1.2,5.2,82134622
