,from_tag,to_tag,buildid
213,5.1.2,5.2,74212764
214,5.1.2,5.2,74212764
215,5.1.2,5.2,74212764
216,5.1.2,5.2,74212764
217,5.1.2,5.2,74212764
218,5.1.2,5.2,74212764
219,5.1.2,5.2,74212764
220,5.1.2,5.2,74212764
221,5.1.2,5.2,74212764
222,5.1.2,5.2,74212764
223,5.1.2,5.2,74215173
224,5.1.2,5.2,74215173
225,5.1.2,5.2,74215173
226,5.1.2,5.2,74215173
227,5.1.2,5.2,74215173
228,5.1.2,5.2,74215173
229,5.1.2,5.2,74215173
230,5.1.2,5.2,74215173
231,5.1.2,5.2,74215173
232,5.1.2,5.2,74215173
233,5.1.2,5.2,74215173
234,5.1.2,5.2,74219700
235,5.1.2,5.2,74219700
236,5.1.2,5.2,74219700
237,5.1.2,5.2,74219700
238,5.1.2,5.2,74219700
239,5.1.2,5.2,74219700
240,5.1.2,5.2,74219700
241,5.1.2,5.2,74219700
242,5.1.2,5.2,74219700
243,5.1.2,5.2,74219700
244,5.1.2,5.2,74219700
245,5.1.2,5.2,79130521
246,5.1.2,5.2,79130521
247,5.1.2,5.2,79130521
248,5.1.2,5.2,79130521
249,5.1.2,5.2,79130521
250,5.1.2,5.2,79130521
251,5.1.2,5.2,79130521
252,5.1.2,5.2,79130521
253,5.1.2,5.2,79130521
254,5.1.2,5.2,74239277
255,5.1.2,5.2,74239277
256,5.1.2,5.2,74239277
257,5.1.2,5.2,74239277
258,5.1.2,5.2,74239277
259,5.1.2,5.2,74239277
260,5.1.2,5.2,74239277
261,5.1.2,5.2,74239277
262,5.1.2,5.2,74239277
263,5.1.2,5.2,74239277
264,5.1.2,5.2,74239277
265,5.1.2,5.2,74242463
266,5.1.2,5.2,74242463
267,5.1.2,5.2,74242463
268,5.1.2,5.2,74242463
269,5.1.2,5.2,74242463
270,5.1.2,5.2,74242463
271,5.1.2,5.2,74242463
272,5.1.2,5.2,74242463
273,5.1.2,5.2,74242463
274,5.1.2,5.2,74242463
275,5.1.2,5.2,74242463
276,5.1.2,5.2,74371073
277,5.1.2,5.2,74371073
278,5.1.2,5.2,74371073
279,5.1.2,5.2,74371073
280,5.1.2,5.2,74371073
281,5.1.2,5.2,74371073
282,5.1.2,5.2,74371073
283,5.1.2,5.2,74371073
284,5.1.2,5.2,74371073
285,5.1.2,5.2,74371073
286,5.1.2,5.2,74371073
287,5.1.2,5.2,74393328
288,5.1.2,5.2,74393328
289,5.1.2,5.2,74393328
290,5.1.2,5.2,74393328
291,5.1.2,5.2,74393328
292,5.1.2,5.2,74393328
293,5.1.2,5.2,74393328
294,5.1.2,5.2,74393328
295,5.1.2,5.2,74393328
296,5.1.2,5.2,74393328
297,5.1.2,5.2,74393328
