,issue_id,fixVersion_name,fixVersion_id
103,95772,8.4.1,16358
104,95772,8.5,16342
105,95754,8.5,16342
106,95731,8.5,16342
107,95717,8.2,15301
108,95710,8.5,16342
109,95649,8.5,16342
110,95644,8.5,16342
111,95621,8.5,16342
112,95620,8.5,16342
113,95590,8.5,16342
114,95565,8.4,15833
115,95560,8.5,16342
116,95535,8.4,15833
117,95488,8.4,15833
118,95471,8.5,16342
119,95463,8.4,15833
120,95454,8.4,15833
121,95439,8.4,15833
122,95430,8.5,16342
123,95353,8.5,16342
124,95339,8.4,15833
125,95319,8.4,15833
126,95316,8.4,15833
127,95056,8.5,16342
128,95053,8.4,15833
129,95044,8.5,16342
130,94977,8.4,15833
131,94971,8.4,15833
132,94970,8.4,15833
133,94951,8.5,16342
134,94950,8.4,15833
135,94939,8.4,15833
136,94931,8.4,15833
137,94907,8.4,15833
138,94874,8.4,15833
139,94868,8.4,15833
140,94867,8.4,15833
141,94862,8.4,15833
142,94861,8.4,15833
143,94859,8.4,15833
144,94853,8.4,15833
145,94841,8.5,16342
146,94810,8.4,15833
147,94802,8.4,15833
148,94779,7.9.4,15832
149,94779,8.4,15833
150,94773,8.4,15833
151,94772,8.4,15833
152,94682,8.4,15833
153,94680,8.5,16342
154,94654,8.5,16342
155,94647,8.4,15833
156,94643,8.5,16342
157,94632,8.4,15833
158,94620,8.4,15833
159,94618,8.4,15833
160,94594,8.4,15833
161,94536,8.5,16342
162,94535,8.4,15833
163,94534,8.4,15833
164,94522,8.4,15833
165,94476,8.4,15833
166,94452,8.4,15833
167,94450,8.4,15833
168,94449,8.4,15833
169,94446,8.4,15833
170,94419,8.4,15833
171,94405,8.4,15833
172,94403,8.4,15833
173,94398,8.4,15833
174,94397,8.4,15833
175,94392,8.4,15833
176,94379,8.4,15833
177,94302,8.4,15833
178,94283,8.4,15833
179,94282,8.4,15833
180,94267,8.4,15833
181,94250,8.4,15833
182,94237,8.3.1,15930
183,94237,8.4,15833
184,94233,8.4,15833
185,94185,8.3.1,15930
186,94127,8.4,15833
187,94124,7.9.4,15832
188,94124,8.4,15833
189,94104,8.4,15833
190,94060,8.3.1,15930
191,94060,8.4,15833
192,94053,7.9.4,15832
193,94053,8.4,15833
194,94045,8.3,15640
195,94035,8.4,15833
196,94017,8.4,15833
197,93988,8.4,15833
198,93978,8.3,15640
199,93970,8.3,15640
200,93914,7.9.4,15832
201,93914,8.4,15833
202,93913,8.4,15833
203,93896,8.3,15640
204,93895,8.3,15640
205,93884,7.9.4,15832
206,93884,8.4,15833
207,93829,8.3,15640
208,93793,8.3,15640
209,93785,8.3,15640
210,93657,8.3,15640
211,93649,8.3,15640
212,93606,8.3,15640
213,93562,8.3,15640
214,93546,8.3,15640
215,93522,8.4,15833
216,93509,8.4,15833
217,93508,8.4,15833
218,93507,8.4,15833
219,93489,8.4,15833
220,93479,8.3,15640
221,93465,8.3,15640
222,93434,8.3,15640
223,93404,8.3,15640
224,93403,8.4,15833
225,93379,8.3,15640
226,93330,8.3,15640
227,93320,8.3,15640
228,93318,8.3,15640
229,93310,8.3,15640
230,93294,8.3,15640
231,93282,8.3,15640
232,93279,8.4,15833
233,93278,8.4,15833
234,93217,8.4,15833
235,93216,8.3,15640
236,93058,8.3,15640
237,93046,8.3,15640
238,93028,8.3,15640
239,93025,8.3,15640
240,93020,8.3,15640
241,93005,8.3,15640
242,92996,8.3,15640
243,92992,8.3,15640
244,92991,8.3,15640
245,92984,8.3,15640
246,92977,8.4,15833
247,92962,8.3,15640
248,92957,8.3,15640
249,92944,8.3,15640
250,92936,8.3,15640
251,92900,8.3,15640
252,92887,8.4,15833
253,92886,9.0,15682
254,92885,8.3,15640
255,92884,8.3,15640
256,92883,8.3,15640
257,92859,8.3,15640
258,92823,8.3,15640
259,92822,8.3,15640
260,92778,8.3,15640
261,92769,8.3,15640
262,92745,8.3,15640
263,92739,8.3,15640
264,92726,7.9.3,15329
265,92726,8.3,15640
266,92724,8.3,15640
267,92723,8.3,15640
268,92713,8.3,15640
269,92711,8.3,15640
270,92683,8.4,15833
271,92680,8.5,16342
272,92668,8.3,15640
273,92666,8.3,15640
274,92661,8.3,15640
275,92659,8.3,15640
276,92624,8.3,15640
277,92599,8.2,15301
278,92574,8.3,15640
279,92520,8.3,15640
280,92519,8.4,15833
281,92518,8.3,15640
282,92511,8.3,15640
283,92510,8.3,15640
284,92509,8.3,15640
285,92445,7.9.3,15329
286,92445,8.2,15301
287,92440,8.4,15833
288,92408,8.4,15833
289,92403,8.2,15301
290,92370,8.2,15301
291,92365,8.3,15640
292,92356,8.3,15640
293,92351,8.2,15301
294,92349,8.3,15640
295,92347,8.2,15301
296,92345,8.2,15301
297,92340,8.2,15301
298,92336,8.2,15301
299,92320,8.2,15301
300,92304,8.3,15640
301,92294,8.3,15640
302,92270,8.2,15301
303,92248,7.9.3,15329
304,92248,8.2,15301
305,92205,8.2,15301
306,92204,8.2,15301
307,92203,8.2,15301
