,from_tag,to_tag,job_id
83,5.1.2,5.2,74212797
84,5.1.2,5.2,74215162
85,5.1.2,5.2,74215163
86,5.1.2,5.2,74215164
87,5.1.2,5.2,74215165
88,5.1.2,5.2,74215166
89,5.1.2,5.2,74215167
90,5.1.2,5.2,74215168
91,5.1.2,5.2,74215169
92,5.1.2,5.2,74215170
93,5.1.2,5.2,74215171
94,5.1.2,5.2,74215172
95,5.1.2,5.2,74219713
96,5.1.2,5.2,74219714
97,5.1.2,5.2,74219715
98,5.1.2,5.2,74219716
99,5.1.2,5.2,74219717
100,5.1.2,5.2,74219718
101,5.1.2,5.2,74219719
102,5.1.2,5.2,74219720
103,5.1.2,5.2,74219721
104,5.1.2,5.2,74219722
105,5.1.2,5.2,74219723
106,5.1.2,5.2,79131739
107,5.1.2,5.2,79131740
108,5.1.2,5.2,79131741
109,5.1.2,5.2,79131742
110,5.1.2,5.2,79131743
111,5.1.2,5.2,79131744
112,5.1.2,5.2,79131745
113,5.1.2,5.2,79131746
114,5.1.2,5.2,79131747
115,5.1.2,5.2,74239703
116,5.1.2,5.2,74239704
117,5.1.2,5.2,74239705
118,5.1.2,5.2,74239706
119,5.1.2,5.2,74239707
120,5.1.2,5.2,74239708
121,5.1.2,5.2,74239709
122,5.1.2,5.2,74239710
123,5.1.2,5.2,74239711
124,5.1.2,5.2,74239712
125,5.1.2,5.2,74239713
126,5.1.2,5.2,74242482
127,5.1.2,5.2,74242483
128,5.1.2,5.2,74242484
129,5.1.2,5.2,74242485
130,5.1.2,5.2,74242486
131,5.1.2,5.2,74242487
132,5.1.2,5.2,74242488
133,5.1.2,5.2,74242489
134,5.1.2,5.2,74242490
135,5.1.2,5.2,74242491
136,5.1.2,5.2,74242492
137,5.1.2,5.2,74371086
138,5.1.2,5.2,74371087
139,5.1.2,5.2,74371088
140,5.1.2,5.2,74371089
141,5.1.2,5.2,74371090
142,5.1.2,5.2,74371091
143,5.1.2,5.2,74371092
144,5.1.2,5.2,74371093
145,5.1.2,5.2,74371094
146,5.1.2,5.2,74371095
147,5.1.2,5.2,74371096
148,5.1.2,5.2,74393350
149,5.1.2,5.2,74393351
150,5.1.2,5.2,74393352
151,5.1.2,5.2,74393353
152,5.1.2,5.2,74393354
153,5.1.2,5.2,74393355
154,5.1.2,5.2,74393356
155,5.1.2,5.2,74393357
156,5.1.2,5.2,74393358
157,5.1.2,5.2,74393359
158,5.1.2,5.2,74393360
159,5.1.2,5.2,74396942
160,5.1.2,5.2,74396943
161,5.1.2,5.2,74396944
162,5.1.2,5.2,74396945
163,5.1.2,5.2,74396946
164,5.1.2,5.2,74396947
165,5.1.2,5.2,74396948
166,5.1.2,5.2,74396949
167,5.1.2,5.2,74396950
168,5.1.2,5.2,74396951
169,5.1.2,5.2,74396952
170,5.1.2,5.2,74068022
171,5.1.2,5.2,74068023
172,5.1.2,5.2,74068024
173,5.1.2,5.2,74068025
174,5.1.2,5.2,74068026
175,5.1.2,5.2,74068027
176,5.1.2,5.2,74068028
177,5.1.2,5.2,74068029
178,5.1.2,5.2,74068030
179,5.1.2,5.2,74068031
180,5.1.2,5.2,74068032
181,5.1.2,5.2,74089792
182,5.1.2,5.2,74089793
183,5.1.2,5.2,74089794
184,5.1.2,5.2,74089796
185,5.1.2,5.2,74089797
186,5.1.2,5.2,74089798
187,5.1.2,5.2,74089799
188,5.1.2,5.2,74089800
189,5.1.2,5.2,74089802
190,5.1.2,5.2,74089803
191,5.1.2,5.2,74089804
192,5.1.2,5.2,74270550
193,5.1.2,5.2,74270551
194,5.1.2,5.2,74270552
195,5.1.2,5.2,74270553
196,5.1.2,5.2,74270554
197,5.1.2,5.2,74270555
198,5.1.2,5.2,74270556
199,5.1.2,5.2,74270558
200,5.1.2,5.2,74270560
201,5.1.2,5.2,74270562
202,5.1.2,5.2,74270563
203,5.1.2,5.2,74366121
204,5.1.2,5.2,74366122
205,5.1.2,5.2,74366123
206,5.1.2,5.2,74366124
207,5.1.2,5.2,74366125
208,5.1.2,5.2,74366126
209,5.1.2,5.2,74366127
210,5.1.2,5.2,74366128
211,5.1.2,5.2,74366129
212,5.1.2,5.2,74366130
213,5.1.2,5.2,74366131
214,5.1.2,5.2,74551519
215,5.1.2,5.2,74551520
216,5.1.2,5.2,74551521
217,5.1.2,5.2,74551522
218,5.1.2,5.2,74551523
