,from_tag,to_tag,job_id
105,5.1.2,5.2,75226216
106,5.1.2,5.2,75226217
107,5.1.2,5.2,75226218
108,5.1.2,5.2,75226219
109,5.1.2,5.2,75226220
110,5.1.2,5.2,75239348
111,5.1.2,5.2,75239351
112,5.1.2,5.2,75239354
113,5.1.2,5.2,75239356
114,5.1.2,5.2,75239358
115,5.1.2,5.2,75239360
116,5.1.2,5.2,75239361
117,5.1.2,5.2,75239362
118,5.1.2,5.2,75239363
119,5.1.2,5.2,75239364
120,5.1.2,5.2,75239366
121,5.1.2,5.2,75255006
122,5.1.2,5.2,75255007
123,5.1.2,5.2,75255008
124,5.1.2,5.2,75255010
125,5.1.2,5.2,75255011
126,5.1.2,5.2,75255012
127,5.1.2,5.2,75255013
128,5.1.2,5.2,75255015
129,5.1.2,5.2,75255016
130,5.1.2,5.2,75255017
131,5.1.2,5.2,75255018
132,5.1.2,5.2,75258128
133,5.1.2,5.2,75258129
134,5.1.2,5.2,75258130
135,5.1.2,5.2,75258131
136,5.1.2,5.2,75258132
137,5.1.2,5.2,75258133
138,5.1.2,5.2,75258134
139,5.1.2,5.2,75258135
140,5.1.2,5.2,75258136
141,5.1.2,5.2,75258137
142,5.1.2,5.2,75258138
143,5.1.2,5.2,75272344
144,5.1.2,5.2,75272346
145,5.1.2,5.2,75272348
146,5.1.2,5.2,75272350
147,5.1.2,5.2,75272353
148,5.1.2,5.2,75272355
149,5.1.2,5.2,75272357
150,5.1.2,5.2,75272359
151,5.1.2,5.2,75272361
152,5.1.2,5.2,75272362
153,5.1.2,5.2,75272365
154,5.1.2,5.2,75281849
155,5.1.2,5.2,75281850
156,5.1.2,5.2,75281851
157,5.1.2,5.2,75281852
158,5.1.2,5.2,75281853
159,5.1.2,5.2,75281854
160,5.1.2,5.2,75281855
161,5.1.2,5.2,75281856
162,5.1.2,5.2,75281857
163,5.1.2,5.2,75281858
164,5.1.2,5.2,75281859
165,5.1.2,5.2,79130462
166,5.1.2,5.2,79130463
167,5.1.2,5.2,79130464
168,5.1.2,5.2,79130465
169,5.1.2,5.2,79130466
170,5.1.2,5.2,79130467
171,5.1.2,5.2,79130468
172,5.1.2,5.2,79130469
173,5.1.2,5.2,79130470
174,5.1.2,5.2,79135485
175,5.1.2,5.2,79135488
176,5.1.2,5.2,79135489
177,5.1.2,5.2,79135491
178,5.1.2,5.2,79135492
179,5.1.2,5.2,79135493
180,5.1.2,5.2,79135494
181,5.1.2,5.2,79135495
182,5.1.2,5.2,79135496
183,5.1.2,5.2,79251024
184,5.1.2,5.2,79251025
185,5.1.2,5.2,79251026
186,5.1.2,5.2,79251027
187,5.1.2,5.2,79251028
188,5.1.2,5.2,79251029
189,5.1.2,5.2,79251031
190,5.1.2,5.2,79251032
191,5.1.2,5.2,79251033
192,5.1.2,5.2,79316552
193,5.1.2,5.2,79316553
194,5.1.2,5.2,79316554
195,5.1.2,5.2,79316555
196,5.1.2,5.2,79316556
197,5.1.2,5.2,79316557
198,5.1.2,5.2,79316558
199,5.1.2,5.2,79316559
200,5.1.2,5.2,79316560
201,5.1.2,5.2,74211434
202,5.1.2,5.2,74211435
203,5.1.2,5.2,74211436
204,5.1.2,5.2,74211437
205,5.1.2,5.2,74211438
206,5.1.2,5.2,74211439
207,5.1.2,5.2,74211440
208,5.1.2,5.2,74211441
209,5.1.2,5.2,74211442
210,5.1.2,5.2,74211443
211,5.1.2,5.2,74211444
212,5.1.2,5.2,74212765
213,5.1.2,5.2,74212766
214,5.1.2,5.2,74212769
215,5.1.2,5.2,74212772
216,5.1.2,5.2,74212774
217,5.1.2,5.2,74212776
218,5.1.2,5.2,74212778
219,5.1.2,5.2,74212780
220,5.1.2,5.2,74212781
221,5.1.2,5.2,74212782
222,5.1.2,5.2,74212783
223,5.1.2,5.2,74215174
224,5.1.2,5.2,74215175
225,5.1.2,5.2,74215176
226,5.1.2,5.2,74215177
227,5.1.2,5.2,74215178
228,5.1.2,5.2,74215179
229,5.1.2,5.2,74215180
230,5.1.2,5.2,74215181
231,5.1.2,5.2,74215182
232,5.1.2,5.2,74215183
233,5.1.2,5.2,74215184
234,5.1.2,5.2,74219701
