,pr_number,title,base_sha,head_sha
267,2220,SONAR-9418 Add activity interaction,7bd9f008ca0d9bf1b5b6cb75d10ba0ce0dd281d1,9198a555bee1f96a06736d7ca568a84ad7a376a7
268,2243,Improve coverage,299de1c1b2242ebb445f16942cbef15fb966c812,3c726f3fa5985ecbb40e44d97ea92c67f444c17a
269,2223,SONAR-9508 Create api/ce/worker_count WS,fd6a1b6a1c24564077d7bf8d2595b6d470bc9aa5,b823e5205efcdef8214e0174693bd9e02c1ba596
270,2218,MMF-950 Capability to launch several Compute Engine Workers must come with the Governance plugin,d5b076b2fc8988e9a3799ba7775f851e1a12cbb7,7210cafc32b2e496c295ef37f48938fe702f97dc
271,2229,SONAR-9480 fix ES recovery of buggy documents,f6a0f6bb86f7d244bec0b6781020e2ea066124c6,2b587aec62ca51d8602b99e7a96e282d15079a81
272,2247,MMF-938 Add concept of Application,bd770adc46dccf9f4ba910519cde36c0fe7eb2d4,497ee1a708a1c1558283331f110784d6c21a9ab0
273,2203,SONAR-9489 Scanner fails on SonarCloud when deactivating a rule from a profile,fd1da108a8fce023bad8bd5f58fb0cad5e45bc0c,4d0009670d26970a814718c8f8d00d40eb6e3a95
274,2246,Remove randomization of number of active rules in test,8c91496b305856b080e35c6818f4dfc2ee9aeb53,0abed2e4d284a393c914cff334c55b3d9c88553f
275,2217,SONAR-9507 ce worker count as internal property,2e3eb0e482ff93b5c30189eca126a58e45e9221a,b940617d5719963c8337886d13afe1b34fb2461b
276,2234,SONAR-9198 Do not warn when reading property sets with getStringArray,81a6eef465d500e89d7bbf3a818fed1910951c84,2e3ad26ae18990a4841a29707298d2acd3f6cd5c
277,2231,SONAR-9525 dynamic ce workers,7da4f278af130240bdab1e5b5729e4e9c0296a59,aba4c66e9a547a2b45fc26dced52014b948f95f4
278,2224,Jh/fix,3ccd84ac94178c482f78644630d623b92adf6e49,1dc6e4bab5fc5b0067b11b0723d8ee1ed71a2887
279,2201,SONAR-8733 canceled download of static files,b8a687d4de61a78ba5529ad5554b7a10b10dc674,6f754683a488d38ae95e3f6143f81a1b8f24b0fb
280,2222,"SONAR-9520 fix Tomcat error ""Unexpected state: headers already parsed""",0e05020d62dbe8d7c088e4bdb0de4f1cd2e13fe9,7319a1c8f25f86da2ac84fb2fc029f20608c9659
281,2228,MMF-958 : Add resiliency on Projects / Issues / Permissions / Organizations,2cb0710049f3cc946ba51b1ab6e797e73b1da390,c2dd62f51836cf6d6aeb13b667fe3081994977ae
282,2232,SONAR-9488 no log when multipart upload fails,6361f28a505edbd9a2b4dd5d405334bc9fd1b07b,c699bdd89cd60664d14d32fa098335346ea59034
283,2219,Re-enable and complete PLI and PLSQL tests,ccde391eea15c4e3661031778c8725c145845e48,ae606e9cf0754c73c49f1b3f7cc7f32ae4ab2a3e
284,2225,SONAR-9508 Display worker counter in background tasks page,1cd3c185bffd49a44c96f434a3d016893771ada1,df0c72fbd2986b64344a3d8f5cc4c595bec5e875
285,2210,Fix excepted time of perf test,90e2bc7b5149d2d64a1987a11cf50dfce1b8457d,bd1e7c65745c33400b3d58351789697c9d5df90a
286,2241,SONAR-9507 fix it,299de1c1b2242ebb445f16942cbef15fb966c812,9c2c8a799fef0488b55cb9621586e77f521b50bc
287,2238,Fix quality flaws,27a8cad6f47ac67b7439752c5ac4688789c10667,79b3e46403ccfc52b98ec1a164c8ffccd96477bd
288,2215,MMF-931 Better understand the history of a project [Customization],ba96a0fbd5d10c0923be4760cf8aae251f43bb7c,26d3d4c8067c1b426d0fca2d938fa4383575773e
289,2248,MMF-966 Developer notifications in SonarLint for IntelliJ,2cb0710049f3cc946ba51b1ab6e797e73b1da390,b8f19984cb38cb47a1e32e5de55c4d17cdf076ee
290,2244,Feature/sl/fix quality flaws,299de1c1b2242ebb445f16942cbef15fb966c812,5dbc2d97361f2425816402a9ee0519b914833141
291,2202,MMF-870 Better understand the history of a project,b2d86314802a630ce4007d82ffc3afcf8aa31dfc,51e2fb66b560a42e8be3c5b68bb8aa70c8f3e83e
292,2214,Fix reactivating user as local,b2d86314802a630ce4007d82ffc3afcf8aa31dfc,5e1de58ff54f5d7248350a94dd566fe231b2c882
293,2230,SONAR-9477 Deprecate ProjectReactor and ProjectBuilder,f6a0f6bb86f7d244bec0b6781020e2ea066124c6,3beff38de05be120e6249e71d7e0770f6ed067a3
294,2227,Select events in DB by query,ba96a0fbd5d10c0923be4760cf8aae251f43bb7c,4fdd6ec9ce527fc597e8395bd61ddfead11f7d3e
295,2213,SONAR-9432 let rule search use OR instead of AND when filtering by tags,b2d86314802a630ce4007d82ffc3afcf8aa31dfc,f1cd18f7a49e30adf00bb54fc1608c5fbcba0ba0
296,2245,Fix too many commits after MAX_BATCH_SIZE is reached,f13b6bf3ca4f5f74d32ff6e90a16027be44af6e9,c2b35137f7ad51c40013ece4e95c24323da32ba6
