,issue_id,version_name,version_id
181,85923,7.8,14939
182,85793,7.8,14939
183,85642,7.7,14848
184,85621,7.8,14939
185,85538,7.7,14848
186,85443,7.7,14848
187,85365,7.5,14693
188,85169,8.0,14962
189,85022,7.7,14848
190,84883,7.7,14848
191,84770,7.2,14213
192,84574,7.7,14848
193,84492,7.8,14939
194,84392,7.8,14939
195,84334,3.5,11598
196,84320,7.8,14939
197,84319,7.8,14939
198,84174,7.3,14464
199,84062,6.7,13972
200,83944,7.7,14848
201,80971,7.7,14848
202,83640,7.7,14848
203,83638,7.7,14848
204,83384,6.7.6,14621
205,83383,6.7.6,14621
206,83383,7.7,14848
207,83334,6.7.5,14467
208,83296,7.7,14848
209,83296,7.8,14939
210,83292,7.7,14848
211,83221,7.7,14848
212,83168,7.7,14848
213,83062,7.6,14753
214,82858,7.6,14753
215,82679,7.6,14753
216,82602,6.7,13972
217,82515,7.6,14753
218,82329,6.7,13972
219,82329,7.6,14753
220,82116,7.6,14753
221,82114,6.7,13972
222,82026,7.6,14753
223,81988,7.6,14753
224,81832,7.5,14693
225,81358,7.6,14753
226,81286,6.7,13972
227,81223,6.7.1,14137
228,81223,7.6,14753
229,81114,7.6,14753
230,80776,7.5,14693
231,80351,7.5,14693
232,79703,7.4,14549
233,79555,7.4,14549
234,79512,7.3,14464
235,79471,7.4,14549
236,79356,7.4,14549
237,79309,7.4,14549
238,79249,7.4,14549
239,79245,7.4,14549
240,79031,7.4,14549
241,79030,7.4,14549
242,78983,7.4,14549
243,78785,6.7.5,14467
244,78785,7.4,14549
245,78773,7.4,14549
246,78612,7.4,14549
247,78514,7.4,14549
248,78497,7.4,14549
249,78423,7.4,14549
250,78333,7.4,14549
251,78287,7.4,14549
252,78282,7.4,14549
253,78282,7.5,14693
254,78267,6.7.4,14377
255,78267,7.4,14549
256,78267,7.5,14693
257,77898,7.3,14464
258,77851,7.3,14464
259,77534,7.3,14464
260,77400,7.3,14464
261,77398,7.3,14464
262,76897,7.3,14464
263,76792,7.3,14464
264,76791,7.3,14464
265,76789,7.3,14464
266,76787,7.3,14464
267,76713,7.2,14213
268,76712,7.0,14041
269,76701,6.7,13972
270,76515,7.3,14464
271,76448,6.7.1,14137
272,76375,7.3,14464
273,76271,7.3,14464
274,76077,7.3,14464
275,75927,7.3,14464
276,75816,7.2.1,14517
277,75816,7.3,14464
278,75809,6.7,13972
279,75704,7.3,14464
280,75661,6.7,13972
281,75661,7.3,14464
282,75660,7.3,14464
283,75648,6.7,13972
284,75648,7.0,14041
285,75625,6.7,13972
286,75625,7.0,14041
287,75619,7.1,14178
288,75613,7.2,14213
289,75593,7.3,14464
290,75495,7.3,14464
291,75394,6.7.4,14377
292,75394,7.2.1,14517
293,75353,6.6,13961
294,75332,7.3,14464
