,from_tag,from_author_date,from_sha,to_sha,ahead_by,behind_by,to_tag,to_author_date,ahead_behind_sum,diff_author_dates,diff_author_days,from_commit_date,to_commit_date,diff_commit_dates,diff_commit_days
1044,6.1.1,2016-11-17 19:45:38,6a70cefe40b1b8127eb4e7ef3436a5c43fe938b4,e50f57556a830a9d0d527f68e6c106192acaa4b9,627,0,6.2-RC1,2016-11-21 11:08:08,627,3 days 15:22:30,3.640625,2016-11-17 20:45:38,2016-11-21 12:08:08,3 days 15:22:30,3.640625
960,6.2,2016-12-13 15:05:23,4a28f29f95254b58f3cf0a0871bc632e998403f5,8a667b2e3358144ea6d0affaf7673ebd290b0b78,21,0,6.2.1,2017-01-16 16:00:20,21,34 days 00:54:57,34.038159722222225,2016-12-13 16:05:23,2017-01-16 17:00:20,34 days 00:54:57,34.038159722222225
1023,6.2-RC1,2016-11-21 11:08:08,e50f57556a830a9d0d527f68e6c106192acaa4b9,b7608b6a0818d0b4372681d3cd224a930eb80410,49,0,6.2-RC2,2016-12-02 07:39:58,49,10 days 20:31:50,10.855439814814815,2016-11-21 12:08:08,2016-12-02 08:39:58,10 days 20:31:50,10.855439814814815
1002,6.2-RC2,2016-12-02 07:39:58,b7608b6a0818d0b4372681d3cd224a930eb80410,e52bc616764bb8cdcd53803f77119f19c6dbb2ce,12,0,6.2-RC3,2016-12-09 10:07:17,12,7 days 02:27:19,7.102303240740741,2016-12-02 08:39:58,2016-12-09 11:07:17,7 days 02:27:19,7.102303240740741
981,6.2-RC3,2016-12-09 10:07:17,e52bc616764bb8cdcd53803f77119f19c6dbb2ce,4a28f29f95254b58f3cf0a0871bc632e998403f5,4,0,6.2,2016-12-13 15:05:23,4,4 days 04:58:06,4.207013888888889,2016-12-09 11:07:17,2016-12-13 16:05:23,4 days 04:58:06,4.207013888888889
873,6.2.1,2017-01-16 16:00:20,8a667b2e3358144ea6d0affaf7673ebd290b0b78,534fc279a64c7b836f39d476d15192999944b9eb,936,0,6.3.0.18401,2017-02-14 11:06:25,936,28 days 19:06:05,28.795891203703704,2017-01-16 17:00:20,2017-02-14 12:06:25,28 days 19:06:05,28.795891203703704
874,6.2.1,2017-01-16 16:00:20,8a667b2e3358144ea6d0affaf7673ebd290b0b78,534fc279a64c7b836f39d476d15192999944b9eb,936,0,6.3-RC1,2017-02-14 11:06:25,936,28 days 19:06:05,28.795891203703704,2017-01-16 17:00:20,2017-02-14 12:06:25,28 days 19:06:05,28.795891203703704
800,6.3,2017-03-14 09:12:39,43ea4f4c43aa89d4c435017f86d0da254e115e6b,54be39f47d188340b14d4d9236bbf3d43b1db2ae,11,0,6.3.1,2017-04-11 12:44:29,11,28 days 03:31:50,28.147106481481483,2017-03-14 10:12:39,2017-04-11 14:44:46,28 days 04:32:07,28.188969907407408
919,6.3-RC4,2017-03-04 17:53:45,e23682d9e420ef59da282322ca9dc6e3fc59d75b,43ea4f4c43aa89d4c435017f86d0da254e115e6b,8,0,6.3,2017-03-14 09:12:39,8,9 days 15:18:54,9.638125,2017-03-04 18:53:45,2017-03-14 10:12:39,9 days 15:18:54,9.638125
815,6.3.0.18401,2017-02-14 11:06:25,534fc279a64c7b836f39d476d15192999944b9eb,3b673b37f88fc38b84244bd541d20ee9ac510486,10,0,6.3.0.18587,2017-02-16 16:38:40,10,2 days 05:32:15,2.230729166666667,2017-02-14 12:06:25,2017-02-17 15:47:10,3 days 03:40:45,3.153298611111111
773,6.3.0.18587,2017-02-16 16:38:40,3b673b37f88fc38b84244bd541d20ee9ac510486,7a8f38e05f2264d550c232cd89518abd1155870a,16,0,6.3.0.18800,2017-02-22 15:04:12,16,5 days 22:25:32,5.934398148148148,2017-02-17 15:47:10,2017-02-22 16:04:12,5 days 00:17:02,5.011828703703704
933,6.3.0.18800,2017-02-22 15:04:12,7a8f38e05f2264d550c232cd89518abd1155870a,e23682d9e420ef59da282322ca9dc6e3fc59d75b,24,0,6.3-RC4,2017-03-04 17:53:45,24,10 days 02:49:33,10.117743055555556,2017-02-22 16:04:12,2017-03-04 18:53:45,10 days 02:49:33,10.117743055555556
752,6.3.1,2017-04-11 12:44:29,54be39f47d188340b14d4d9236bbf3d43b1db2ae,84ad17dd4e53eae1221d1af96fb45d8997f2e2fa,7,0,6.3.2,2017-04-24 08:51:14,7,12 days 20:06:45,12.838020833333333,2017-04-11 14:44:46,2017-04-24 10:51:14,12 days 20:06:28,12.837824074074074
731,6.3.2,2017-04-24 08:51:14,84ad17dd4e53eae1221d1af96fb45d8997f2e2fa,04b7bf3ccc22daea116a67e6ba174237805e5ccf,1001,0,6.4-RC1,2017-05-16 15:00:32,1001,22 days 06:09:18,22.256458333333335,2017-04-24 10:51:14,2017-05-16 22:00:23,22 days 11:09:09,22.4646875
649,6.4,2017-06-02 08:32:25,ad64a17b531c0e1f6fef0ce7e4d0d0b060977754,25592161f1698d5be10311cab517cd4824445945,188,0,6.5-M1,2017-06-20 15:42:21,188,18 days 07:09:56,18.298564814814814,2017-06-02 10:32:25,2017-06-20 17:42:21,18 days 07:09:56,18.298564814814814
710,6.4-RC1,2017-05-16 15:00:32,04b7bf3ccc22daea116a67e6ba174237805e5ccf,8e826b1066ffea29958f8c5ac09244baa624dafd,12,0,6.4-RC2,2017-05-22 10:00:44,12,5 days 19:00:12,5.791805555555555,2017-05-16 22:00:23,2017-05-22 12:00:44,5 days 14:00:21,5.583576388888889
689,6.4-RC2,2017-05-22 10:00:44,8e826b1066ffea29958f8c5ac09244baa624dafd,1f978d91e82d8ddbe49806ee6d32bc93e8f6a42f,12,0,6.4-RC3,2017-05-29 09:55:18,12,6 days 23:54:34,6.996226851851852,2017-05-22 12:00:44,2017-05-29 11:55:18,6 days 23:54:34,6.996226851851852
669,6.4-RC3,2017-05-29 09:55:18,1f978d91e82d8ddbe49806ee6d32bc93e8f6a42f,ad64a17b531c0e1f6fef0ce7e4d0d0b060977754,11,0,6.4,2017-06-02 08:32:25,11,3 days 22:37:07,3.9424421296296295,2017-05-29 11:55:18,2017-06-02 10:32:25,3 days 22:37:07,3.9424421296296295
515,6.5,2017-08-01 11:58:54,ef2ca5b33e5795b841d45e0b20fef3cb90391719,868e9ce285262e5277c158ea3c2082c379e81943,1046,0,6.6-RC1,2017-10-10 17:03:23,1046,70 days 05:04:29,70.21144675925926,2017-08-01 13:58:54,2017-10-10 22:41:48,70 days 08:42:54,70.363125
629,6.5-M1,2017-06-20 15:42:21,25592161f1698d5be10311cab517cd4824445945,bcc8082815b493171a30ae32dfef9d9c278804a4,139,2,6.5-M2,2017-07-05 17:09:06,141,15 days 01:26:45,15.060243055555556,2017-06-20 17:42:21,2017-07-05 19:09:06,15 days 01:26:45,15.060243055555556
