,issue_id,fixVersion_name,fixVersion_id
1443,74078,7.3,14464
1444,74024,7.4,14549
1445,74009,7.3,14464
1446,74008,7.3,14464
1447,74007,7.3,14464
1448,74006,7.3,14464
1449,74005,7.3,14464
1450,74004,7.3,14464
1451,73982,7.3,14464
1452,73973,7.3,14464
1453,73961,7.3,14464
1454,73951,7.3,14464
1455,73900,7.2.1,14517
1456,73900,7.3,14464
1457,73870,7.3,14464
1458,73837,7.3,14464
1459,73820,7.3,14464
1460,67047,7.2,14213
1461,71715,7.2,14213
1462,71714,7.2,14213
1463,72175,7.2,14213
1464,69040,7.2,14213
1465,70039,7.2,14213
1466,63924,7.2,14213
1467,63917,7.2,14213
1468,69480,7.2,14213
1469,68663,7.2,14213
1470,71592,7.2,14213
1471,65105,7.2,14213
1472,70519,7.2,14213
1473,73775,7.3,14464
1474,73756,7.3,14464
1475,73654,7.3,14464
1476,73652,7.4,14549
1477,73624,7.3,14464
1478,73622,7.4,14549
1479,73581,7.2,14213
1480,73580,7.2,14213
1481,73576,7.3,14464
1482,73554,7.3,14464
1483,73500,7.3,14464
1484,73486,7.3,14464
1485,73484,7.2,14213
1486,73482,7.3,14464
1487,73476,7.3,14464
1488,73474,7.3,14464
1489,73437,7.4,14549
1490,73431,7.3,14464
1491,73425,7.2,14213
1492,73398,7.2,14213
1493,73396,7.3,14464
1494,73387,7.2,14213
1495,73353,7.2,14213
1496,73331,7.6,14753
1497,73314,6.7.5,14467
1498,73232,7.3,14464
1499,73231,7.2,14213
1500,73203,7.2,14213
1501,73201,7.2,14213
1502,73162,7.2,14213
1503,73155,7.2,14213
1504,73144,7.2,14213
1505,73132,7.2,14213
1506,73129,7.2,14213
1507,73119,7.2,14213
1508,73116,6.7.5,14467
1509,73116,7.2,14213
1510,73099,7.2,14213
1511,73089,7.2,14213
1512,73082,7.2,14213
1513,73080,7.3,14464
1514,73079,7.3,14464
1515,73077,7.3,14464
1516,73076,7.3,14464
1517,73073,7.2,14213
1518,73066,7.2,14213
1519,73060,7.3,14464
1520,73056,7.2,14213
1521,73039,7.2,14213
1522,73038,8.0,14962
1523,73031,7.2,14213
1524,73007,7.2,14213
1525,72614,7.2,14213
1526,72615,7.2,14213
1527,70916,7.2,14213
1528,72311,7.2,14213
1529,72928,7.2,14213
1530,71489,7.3,14464
1531,64883,7.8,14939
1532,66041,7.8,14939
1533,48635,7.8,14939
1534,71319,7.4,14549
1535,61535,7.8,14939
