,from_tag,to_tag,ahead_by,behind_by
514,6.3.1,6.4-RC1,1008,0
515,6.2.1,6.4-RC1,2013,0
516,6.3.0.18401,6.4-RC1,1077,0
517,6.4-RC3,6.4-RC1,0,24
518,6.3-RC4,6.4-RC1,1027,0
519,6.4,6.4-RC2,0,23
520,6.2.1,6.4-RC2,2025,0
521,6.3-RC4,6.4-RC2,1039,0
522,6.3.0.18401,6.4-RC2,1089,0
523,6.5-M2,6.4-RC2,0,348
524,6.3.0.18800,6.4-RC2,1063,0
525,6.3-RC1,6.4-RC2,1089,0
526,6.3,6.4-RC2,1031,0
527,6.4-RC3,6.4-RC2,0,12
528,6.5-M1,6.4-RC2,0,211
529,6.3.2,6.4-RC2,1013,0
530,6.3.0.18587,6.4-RC2,1079,0
531,6.4-RC1,6.4-RC2,12,0
532,6.3.1,6.4-RC2,1020,0
533,6.3.0.18800,6.5-M3,1478,0
534,6.4-RC1,6.5-M3,427,0
535,6.5-M1,6.5-M3,206,2
536,6.6-RC1,6.5-M3,0,1067
537,6.5-M2,6.5-M3,67,0
538,6.4,6.5-M3,392,0
539,6.3.1,6.5-M3,1435,0
540,6.3.2,6.5-M3,1428,0
541,6.4-RC2,6.5-M3,415,0
542,6.5-M4,6.5-M3,0,15
543,6.5,6.5-M3,0,21
544,6.5-RC1,6.5-M3,1,0
545,6.4-RC3,6.5-M3,403,0
546,2.10,2.13,731,1
547,2.7,2.13,1386,0
548,2.12,2.13,286,0
549,2.10.1,2.13,731,4
550,2.6,2.13,1521,0
551,2.13.1,2.13,0,3
552,2.11,2.13,556,6
553,2.14,2.13,11,374
554,5.2,5.3-RC2,552,0
555,5.3-RC3,5.3-RC2,0,7
556,5.2-RC1,5.3-RC2,643,0
557,5.1,5.3-RC2,3424,0
558,5.4-M3,5.3-RC2,0,70
559,5.1.1,5.3-RC2,3417,0
560,5.3-RC1,5.3-RC2,40,1
561,5.0.1,5.0-RC3,0,56
562,5.0-RC1,5.0-RC3,16,0
563,5.1-RC1,5.0-RC3,0,1166
564,4.5.1,5.0-RC3,1161,0
565,5.0-RC4,5.0-RC3,0,36
566,5.0-RC2,5.0-RC3,5,0
567,4.5.5,5.0-RC3,1138,39
568,4.5.1-RC1,5.0-RC3,1169,0
569,4.5.6,5.0-RC3,1138,68
570,4.5.7,5.0-RC3,1138,75
571,4.5.3,5.0-RC3,1138,36
572,4.5.2,5.0-RC3,1138,15
573,5.0,5.0-RC3,0,44
574,4.5.4,5.0-RC3,1138,39
575,5.4-M5,5.4-M10,116,0
576,5.3,5.4-M10,257,0
577,5.4-M12,5.4-M10,0,98
578,5.4-M2,5.4-M10,213,0
579,5.4-M11,5.4-M10,0,37
580,5.4-M7,5.4-M10,96,0
581,5.4-M4,5.4-M10,156,0
582,5.4-M13,5.4-M10,0,126
583,5.4-M8,5.4-M10,73,0
584,5.4-M6,5.4-M10,101,0
585,5.4-RC1,5.4-M10,0,148
586,5.3-RC3,5.4-M10,259,0
587,5.4-M3,5.4-M10,196,0
588,5.4-M9,5.4-M10,36,0
589,4.1-RC2,4.1.2,47,6
590,4.3,4.1.2,50,1761
591,4.0,4.1.2,453,30
592,3.7.2,4.1.2,933,49
593,4.3.2,4.1.2,50,1774
594,3.7.4,4.1.2,933,58
595,4.3.1,4.1.2,50,1767
596,4.1.1,4.1.2,3,0
597,3.7.1,4.1.2,933,42
598,3.7,4.1.2,1168,14
599,4.1-RC1,4.1.2,49,3
600,3.7.1-RC1-,4.1.2,972,2
601,4.2,4.1.2,50,1076
602,4.1,4.1.2,9,0
603,2.14,2.9,0,1281
604,3.1,2.9,0,1884
605,3.0,2.9,0,1538
606,2.11,2.9,0,368
607,3.1.1,2.9,0,1887
608,2.6,2.9,603,0
609,2.13.1,2.9,0,921
610,2.12,2.9,0,632
611,2.7,2.9,468,0
612,2.8,2.9,196,0
613,3.0.1,2.9,0,1547
614,2.10.1,2.9,0,191
615,2.10,2.9,0,188
616,2.13,2.9,0,918
617,6.2-RC1,6.3-RC1,1022,0
618,6.2-RC2,6.3-RC1,973,0
619,6.1,6.3-RC1,1653,0
620,6.2,6.3-RC1,957,0
621,6.1-RC1,6.3-RC1,1681,0
622,6.2.1,6.3-RC1,936,0
623,6.0,6.3-RC1,2245,0
624,6.3.0.18401,6.3-RC1,0,0
625,6.1.1,6.3-RC1,1649,0
626,6.3.0.18587,6.3-RC1,0,10
627,6.2-RC3,6.3-RC1,961,0
628,6.3,6.3-RC1,0,58
629,6.3-RC4,6.3-RC1,0,50
630,6.1-RC2,6.3-RC1,1657,0
631,5.6.4,5.6.6,14,0
632,5.5-RC2,5.6.6,453,0
633,5.6,5.6.6,101,0
634,6.0,5.6.6,66,472
635,5.6-RC2,5.6.6,108,0
636,5.5,5.6.6,450,0
637,6.0-RC2,5.6.6,71,468
638,5.6.5,5.6.6,3,0
639,5.6-RC1,5.6.6,132,0
640,5.6.7,5.6.6,0,10
641,5.6.1,5.6.6,69,0
642,6.0-RC1,5.6.6,71,450
643,5.6.3,5.6.6,31,0
644,5.6.2,5.6.6,44,0
645,5.5,5.6.7,460,0
646,5.6.2,5.6.7,54,0
647,5.6.4,5.6.7,24,0
648,5.6.6,5.6.7,10,0
649,6.0,5.6.7,76,472
650,5.6,5.6.7,111,0
651,6.0-RC2,5.6.7,81,468
652,5.6.3,5.6.7,41,0
653,5.6-RC2,5.6.7,118,0
654,5.6-RC1,5.6.7,142,0
655,5.6.5,5.6.7,13,0
656,6.1-RC1,5.6.7,56,1016
657,6.0-RC1,5.6.7,81,450
658,5.6.1,5.6.7,79,0
659,6.1.1,6.3-RC4,1699,0
660,6.1-RC1,6.3-RC4,1731,0
661,6.3.0.18401,6.3-RC4,50,0
662,6.2,6.3-RC4,1007,0
663,6.3.0.18800,6.3-RC4,24,0
664,6.2-RC3,6.3-RC4,1011,0
665,6.2-RC2,6.3-RC4,1023,0
666,6.3-RC1,6.3-RC4,50,0
667,6.1,6.3-RC4,1703,0
668,6.3,6.3-RC4,0,8
669,6.1-RC2,6.3-RC4,1707,0
670,6.2.1,6.3-RC4,986,0
671,6.3.0.18587,6.3-RC4,40,0
672,6.2-RC1,6.3-RC4,1072,0
673,3.7.1-RC1-,4.2,1998,2
674,4.1-RC2,4.2,1076,9
675,4.0,4.2,1479,30
676,4.1,4.2,1076,41
677,4.1-RC1,4.2,1076,4
678,4.1.2,4.2,1076,50
679,4.3.3,4.2,99,802
680,3.7.2,4.2,1959,49
681,4.3,4.2,99,784
682,3.7.4,4.2,1959,58
683,4.3.1,4.2,99,790
684,3.7.1,4.2,1959,42
685,4.1.1,4.2,1076,47
686,3.0.1,3.1,347,10
687,3.3,3.1,0,749
688,2.12,3.1,1252,0
689,3.2.1,3.1,0,383
690,2.14,3.1,609,6
