,from_tag,from_sha,to_sha,ahead_by,behind_by,to_tag
1864,5.5-M1,8909ccd99b9bc5874f24395519d66e2bcb9bdacb,27858608f46ae9f1cd2c2269151e68f56f882417,0,69,5.4-M13
1865,5.4,7b02df9be3cd9448699b5857586e1c6e2b28c007,27858608f46ae9f1cd2c2269151e68f56f882417,0,55,5.4-M13
1866,5.4-RC4,ca9cfe39623b1ae2fdab458348f1b92838b7f151,27858608f46ae9f1cd2c2269151e68f56f882417,0,52,5.4-M13
1867,5.4-RC3,19310ef05676362f6b88be6d1edc22a12af372b4,27858608f46ae9f1cd2c2269151e68f56f882417,0,45,5.4-M13
1868,5.4-RC2,e8f951d9f2a99975e31f82d97fce68f47e9242d3,27858608f46ae9f1cd2c2269151e68f56f882417,0,34,5.4-M13
1869,5.4-RC1,6bb02b28a33282bda2b9ed6bc995a4aee68ff172,27858608f46ae9f1cd2c2269151e68f56f882417,0,22,5.4-M13
1870,5.4-M14,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,27858608f46ae9f1cd2c2269151e68f56f882417,0,25,5.4-M13
1871,5.4-M14,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,27858608f46ae9f1cd2c2269151e68f56f882417,0,25,5.4-M13
1872,5.4-M1,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,27858608f46ae9f1cd2c2269151e68f56f882417,0,25,5.4-M13
1873,5.4-M1,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,27858608f46ae9f1cd2c2269151e68f56f882417,0,25,5.4-M13
1874,5.4-M12,ca8c711145a11e61a3c6571cef38cf8d53b5d423,27858608f46ae9f1cd2c2269151e68f56f882417,28,0,5.4-M13
1875,5.4-M11,84d4f441879de01734bb9041fc0cdfbd461386ee,27858608f46ae9f1cd2c2269151e68f56f882417,89,0,5.4-M13
1876,5.4-M10,bea2847df13b73c7364193419873e3e8b47b5b73,27858608f46ae9f1cd2c2269151e68f56f882417,126,0,5.4-M13
1877,5.4-M9,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,27858608f46ae9f1cd2c2269151e68f56f882417,162,0,5.4-M13
1878,5.4-M8,162d76a0e6964f1d42069b42ce0362fedd151f75,27858608f46ae9f1cd2c2269151e68f56f882417,199,0,5.4-M13
1879,5.4-M7,366217e521da38a4b17f7e6ada0f4d6612475580,27858608f46ae9f1cd2c2269151e68f56f882417,222,0,5.4-M13
1880,5.4-M6,868e4d9403268e0f17235e1993496e92cb8883be,27858608f46ae9f1cd2c2269151e68f56f882417,227,0,5.4-M13
1881,5.4-M5,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,27858608f46ae9f1cd2c2269151e68f56f882417,242,0,5.4-M13
1882,5.4-M4,eaf7b87bb681e86ebef1778039de929c211b1f99,27858608f46ae9f1cd2c2269151e68f56f882417,282,0,5.4-M13
1883,5.4-M3,0fddc5fa4ea33882b60e072eee51f0e1ea585b4c,27858608f46ae9f1cd2c2269151e68f56f882417,322,0,5.4-M13
1884,5.5-M1,8909ccd99b9bc5874f24395519d66e2bcb9bdacb,ca8c711145a11e61a3c6571cef38cf8d53b5d423,0,97,5.4-M12
1885,5.4,7b02df9be3cd9448699b5857586e1c6e2b28c007,ca8c711145a11e61a3c6571cef38cf8d53b5d423,0,83,5.4-M12
1886,5.4-RC4,ca9cfe39623b1ae2fdab458348f1b92838b7f151,ca8c711145a11e61a3c6571cef38cf8d53b5d423,0,80,5.4-M12
1887,5.4-RC3,19310ef05676362f6b88be6d1edc22a12af372b4,ca8c711145a11e61a3c6571cef38cf8d53b5d423,0,73,5.4-M12
1888,5.4-RC2,e8f951d9f2a99975e31f82d97fce68f47e9242d3,ca8c711145a11e61a3c6571cef38cf8d53b5d423,0,62,5.4-M12
1889,5.4-RC1,6bb02b28a33282bda2b9ed6bc995a4aee68ff172,ca8c711145a11e61a3c6571cef38cf8d53b5d423,0,50,5.4-M12
1890,5.4-M14,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,ca8c711145a11e61a3c6571cef38cf8d53b5d423,0,53,5.4-M12
1891,5.4-M14,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,ca8c711145a11e61a3c6571cef38cf8d53b5d423,0,53,5.4-M12
1892,5.4-M1,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,ca8c711145a11e61a3c6571cef38cf8d53b5d423,0,53,5.4-M12
1893,5.4-M1,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,ca8c711145a11e61a3c6571cef38cf8d53b5d423,0,53,5.4-M12
1894,5.4-M13,27858608f46ae9f1cd2c2269151e68f56f882417,ca8c711145a11e61a3c6571cef38cf8d53b5d423,0,28,5.4-M12
1895,5.4-M11,84d4f441879de01734bb9041fc0cdfbd461386ee,ca8c711145a11e61a3c6571cef38cf8d53b5d423,61,0,5.4-M12
1896,5.4-M10,bea2847df13b73c7364193419873e3e8b47b5b73,ca8c711145a11e61a3c6571cef38cf8d53b5d423,98,0,5.4-M12
1897,5.4-M9,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,ca8c711145a11e61a3c6571cef38cf8d53b5d423,134,0,5.4-M12
1898,5.4-M8,162d76a0e6964f1d42069b42ce0362fedd151f75,ca8c711145a11e61a3c6571cef38cf8d53b5d423,171,0,5.4-M12
1899,5.4-M7,366217e521da38a4b17f7e6ada0f4d6612475580,ca8c711145a11e61a3c6571cef38cf8d53b5d423,194,0,5.4-M12
1900,5.4-M6,868e4d9403268e0f17235e1993496e92cb8883be,ca8c711145a11e61a3c6571cef38cf8d53b5d423,199,0,5.4-M12
1901,5.4-M5,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,ca8c711145a11e61a3c6571cef38cf8d53b5d423,214,0,5.4-M12
1902,5.4-M4,eaf7b87bb681e86ebef1778039de929c211b1f99,ca8c711145a11e61a3c6571cef38cf8d53b5d423,254,0,5.4-M12
1903,5.4-M3,0fddc5fa4ea33882b60e072eee51f0e1ea585b4c,ca8c711145a11e61a3c6571cef38cf8d53b5d423,294,0,5.4-M12
1904,5.4-M2,d7ea0a8b14b8649144f7bfbff055f207d954d6c9,ca8c711145a11e61a3c6571cef38cf8d53b5d423,311,0,5.4-M12
1905,5.4,7b02df9be3cd9448699b5857586e1c6e2b28c007,84d4f441879de01734bb9041fc0cdfbd461386ee,0,144,5.4-M11
1906,5.4-RC4,ca9cfe39623b1ae2fdab458348f1b92838b7f151,84d4f441879de01734bb9041fc0cdfbd461386ee,0,141,5.4-M11
1907,5.4-RC3,19310ef05676362f6b88be6d1edc22a12af372b4,84d4f441879de01734bb9041fc0cdfbd461386ee,0,134,5.4-M11
1908,5.4-RC2,e8f951d9f2a99975e31f82d97fce68f47e9242d3,84d4f441879de01734bb9041fc0cdfbd461386ee,0,123,5.4-M11
1909,5.4-RC1,6bb02b28a33282bda2b9ed6bc995a4aee68ff172,84d4f441879de01734bb9041fc0cdfbd461386ee,0,111,5.4-M11
1910,5.4-M14,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,84d4f441879de01734bb9041fc0cdfbd461386ee,0,114,5.4-M11
1911,5.4-M14,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,84d4f441879de01734bb9041fc0cdfbd461386ee,0,114,5.4-M11
1912,5.4-M1,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,84d4f441879de01734bb9041fc0cdfbd461386ee,0,114,5.4-M11
1913,5.4-M1,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,84d4f441879de01734bb9041fc0cdfbd461386ee,0,114,5.4-M11
1914,5.4-M13,27858608f46ae9f1cd2c2269151e68f56f882417,84d4f441879de01734bb9041fc0cdfbd461386ee,0,89,5.4-M11
1915,5.4-M12,ca8c711145a11e61a3c6571cef38cf8d53b5d423,84d4f441879de01734bb9041fc0cdfbd461386ee,0,61,5.4-M11
1916,5.4-M10,bea2847df13b73c7364193419873e3e8b47b5b73,84d4f441879de01734bb9041fc0cdfbd461386ee,37,0,5.4-M11
1917,5.4-M9,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,84d4f441879de01734bb9041fc0cdfbd461386ee,73,0,5.4-M11
1918,5.4-M8,162d76a0e6964f1d42069b42ce0362fedd151f75,84d4f441879de01734bb9041fc0cdfbd461386ee,110,0,5.4-M11
1919,5.4-M7,366217e521da38a4b17f7e6ada0f4d6612475580,84d4f441879de01734bb9041fc0cdfbd461386ee,133,0,5.4-M11
1920,5.4-M6,868e4d9403268e0f17235e1993496e92cb8883be,84d4f441879de01734bb9041fc0cdfbd461386ee,138,0,5.4-M11
1921,5.4-M5,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,84d4f441879de01734bb9041fc0cdfbd461386ee,153,0,5.4-M11
1922,5.4-M4,eaf7b87bb681e86ebef1778039de929c211b1f99,84d4f441879de01734bb9041fc0cdfbd461386ee,193,0,5.4-M11
1923,5.4-M3,0fddc5fa4ea33882b60e072eee51f0e1ea585b4c,84d4f441879de01734bb9041fc0cdfbd461386ee,233,0,5.4-M11
1924,5.4-M2,d7ea0a8b14b8649144f7bfbff055f207d954d6c9,84d4f441879de01734bb9041fc0cdfbd461386ee,250,0,5.4-M11
1925,5.3,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1,84d4f441879de01734bb9041fc0cdfbd461386ee,294,0,5.4-M11
1926,5.4-RC4,ca9cfe39623b1ae2fdab458348f1b92838b7f151,bea2847df13b73c7364193419873e3e8b47b5b73,0,178,5.4-M10
1927,5.4-RC3,19310ef05676362f6b88be6d1edc22a12af372b4,bea2847df13b73c7364193419873e3e8b47b5b73,0,171,5.4-M10
1928,5.4-RC2,e8f951d9f2a99975e31f82d97fce68f47e9242d3,bea2847df13b73c7364193419873e3e8b47b5b73,0,160,5.4-M10
1929,5.4-RC1,6bb02b28a33282bda2b9ed6bc995a4aee68ff172,bea2847df13b73c7364193419873e3e8b47b5b73,0,148,5.4-M10
1930,5.4-M14,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,bea2847df13b73c7364193419873e3e8b47b5b73,0,151,5.4-M10
1931,5.4-M14,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,bea2847df13b73c7364193419873e3e8b47b5b73,0,151,5.4-M10
1932,5.4-M1,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,bea2847df13b73c7364193419873e3e8b47b5b73,0,151,5.4-M10
1933,5.4-M1,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,bea2847df13b73c7364193419873e3e8b47b5b73,0,151,5.4-M10
1934,5.4-M13,27858608f46ae9f1cd2c2269151e68f56f882417,bea2847df13b73c7364193419873e3e8b47b5b73,0,126,5.4-M10
1935,5.4-M12,ca8c711145a11e61a3c6571cef38cf8d53b5d423,bea2847df13b73c7364193419873e3e8b47b5b73,0,98,5.4-M10
1936,5.4-M11,84d4f441879de01734bb9041fc0cdfbd461386ee,bea2847df13b73c7364193419873e3e8b47b5b73,0,37,5.4-M10
1937,5.4-M9,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,bea2847df13b73c7364193419873e3e8b47b5b73,36,0,5.4-M10
1938,5.4-M8,162d76a0e6964f1d42069b42ce0362fedd151f75,bea2847df13b73c7364193419873e3e8b47b5b73,73,0,5.4-M10
1939,5.4-M7,366217e521da38a4b17f7e6ada0f4d6612475580,bea2847df13b73c7364193419873e3e8b47b5b73,96,0,5.4-M10
1940,5.4-M6,868e4d9403268e0f17235e1993496e92cb8883be,bea2847df13b73c7364193419873e3e8b47b5b73,101,0,5.4-M10
1941,5.4-M5,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,bea2847df13b73c7364193419873e3e8b47b5b73,116,0,5.4-M10
1942,5.4-M4,eaf7b87bb681e86ebef1778039de929c211b1f99,bea2847df13b73c7364193419873e3e8b47b5b73,156,0,5.4-M10
1943,5.4-M3,0fddc5fa4ea33882b60e072eee51f0e1ea585b4c,bea2847df13b73c7364193419873e3e8b47b5b73,196,0,5.4-M10
1944,5.4-M2,d7ea0a8b14b8649144f7bfbff055f207d954d6c9,bea2847df13b73c7364193419873e3e8b47b5b73,213,0,5.4-M10
1945,5.3,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1,bea2847df13b73c7364193419873e3e8b47b5b73,257,0,5.4-M10
1946,5.3-RC3,e735681d1b11ff0e90c254a3b5302e290ffa05a6,bea2847df13b73c7364193419873e3e8b47b5b73,259,0,5.4-M10
1947,5.4-RC3,19310ef05676362f6b88be6d1edc22a12af372b4,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,0,207,5.4-M9
1948,5.4-RC2,e8f951d9f2a99975e31f82d97fce68f47e9242d3,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,0,196,5.4-M9
1949,5.4-RC1,6bb02b28a33282bda2b9ed6bc995a4aee68ff172,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,0,184,5.4-M9
1950,5.4-M14,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,0,187,5.4-M9
1951,5.4-M14,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,0,187,5.4-M9
1952,5.4-M1,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,0,187,5.4-M9
1953,5.4-M1,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,0,187,5.4-M9
1954,5.4-M13,27858608f46ae9f1cd2c2269151e68f56f882417,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,0,162,5.4-M9
1955,5.4-M12,ca8c711145a11e61a3c6571cef38cf8d53b5d423,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,0,134,5.4-M9
1956,5.4-M11,84d4f441879de01734bb9041fc0cdfbd461386ee,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,0,73,5.4-M9
1957,5.4-M10,bea2847df13b73c7364193419873e3e8b47b5b73,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,0,36,5.4-M9
1958,5.4-M8,162d76a0e6964f1d42069b42ce0362fedd151f75,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,37,0,5.4-M9
1959,5.4-M7,366217e521da38a4b17f7e6ada0f4d6612475580,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,60,0,5.4-M9
1960,5.4-M6,868e4d9403268e0f17235e1993496e92cb8883be,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,65,0,5.4-M9
1961,5.4-M5,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,80,0,5.4-M9
1962,5.4-M4,eaf7b87bb681e86ebef1778039de929c211b1f99,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,120,0,5.4-M9
1963,5.4-M3,0fddc5fa4ea33882b60e072eee51f0e1ea585b4c,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,160,0,5.4-M9
1964,5.4-M2,d7ea0a8b14b8649144f7bfbff055f207d954d6c9,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,177,0,5.4-M9
1965,5.3,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,221,0,5.4-M9
1966,5.3-RC3,e735681d1b11ff0e90c254a3b5302e290ffa05a6,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,223,0,5.4-M9
1967,5.3-RC2,29a84111f6cc9298f83df515830ff40a41d0976c,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,230,0,5.4-M9
1968,5.4-RC2,e8f951d9f2a99975e31f82d97fce68f47e9242d3,162d76a0e6964f1d42069b42ce0362fedd151f75,0,233,5.4-M8
1969,5.4-RC1,6bb02b28a33282bda2b9ed6bc995a4aee68ff172,162d76a0e6964f1d42069b42ce0362fedd151f75,0,221,5.4-M8
1970,5.4-M14,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,162d76a0e6964f1d42069b42ce0362fedd151f75,0,224,5.4-M8
1971,5.4-M14,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,162d76a0e6964f1d42069b42ce0362fedd151f75,0,224,5.4-M8
1972,5.4-M1,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,162d76a0e6964f1d42069b42ce0362fedd151f75,0,224,5.4-M8
1973,5.4-M1,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,162d76a0e6964f1d42069b42ce0362fedd151f75,0,224,5.4-M8
1974,5.4-M13,27858608f46ae9f1cd2c2269151e68f56f882417,162d76a0e6964f1d42069b42ce0362fedd151f75,0,199,5.4-M8
1975,5.4-M12,ca8c711145a11e61a3c6571cef38cf8d53b5d423,162d76a0e6964f1d42069b42ce0362fedd151f75,0,171,5.4-M8
1976,5.4-M11,84d4f441879de01734bb9041fc0cdfbd461386ee,162d76a0e6964f1d42069b42ce0362fedd151f75,0,110,5.4-M8
1977,5.4-M10,bea2847df13b73c7364193419873e3e8b47b5b73,162d76a0e6964f1d42069b42ce0362fedd151f75,0,73,5.4-M8
1978,5.4-M9,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,162d76a0e6964f1d42069b42ce0362fedd151f75,0,37,5.4-M8
1979,5.4-M7,366217e521da38a4b17f7e6ada0f4d6612475580,162d76a0e6964f1d42069b42ce0362fedd151f75,23,0,5.4-M8
1980,5.4-M6,868e4d9403268e0f17235e1993496e92cb8883be,162d76a0e6964f1d42069b42ce0362fedd151f75,28,0,5.4-M8
1981,5.4-M5,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,162d76a0e6964f1d42069b42ce0362fedd151f75,43,0,5.4-M8
1982,5.4-M4,eaf7b87bb681e86ebef1778039de929c211b1f99,162d76a0e6964f1d42069b42ce0362fedd151f75,83,0,5.4-M8
1983,5.4-M3,0fddc5fa4ea33882b60e072eee51f0e1ea585b4c,162d76a0e6964f1d42069b42ce0362fedd151f75,123,0,5.4-M8
