tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
,,55101449,,java,broken,0,java-ant,"",false,,,,,,,,,"",,484
,,55104106,,java,broken,3,java-ant,"",false,,,,,,,,,"",,79
,,55104107,,java,broken,3,java-ant,"",false,,,,,,,,,"",,81
,,55105446,,java,broken,3,java-ant,"",false,,,,,,,,,"",,30.76
,,55105447,,java,broken,3,java-ant,"",false,,,,,,,,,"",,77
,,55105582,,java,broken,3,java-ant,"",false,,,,,,,,,"",,101
,,55105583,,java,broken,3,java-ant,"",false,,,,,,,,,"",,63
,,55109058,,java,broken,3,java-ant,"",false,,,,,,,,,"",,80
,,55109059,,java,broken,3,java-ant,"",false,,,,,,,,,"",,83
,,55137820,,java,broken,3,java-ant,"",false,,,,,,,,,"",,93
,,55137821,,java,broken,3,java-ant,"",false,,,,,,,,,"",,65
,,55139814,,java,broken,3,java-ant,"",false,,,,,,,,,"",,79
,,55139815,,java,broken,3,java-ant,"",false,,,,,,,,,"",,61
,,55139817,,java,broken,0,java-ant,"",false,,,,,,,,,"",,120
,,55139818,,java,broken,0,java-ant,"",false,,,,,,,,,"",,61
,,55140179,,java,broken,3,java-ant,"",false,,,,,,,,,"",,83
,,55140180,,java,broken,3,java-ant,"",false,,,,,,,,,"",,58.31
,,55140182,,java,broken,0,java-ant,"",false,,,,,,,,,"",,115
,,55140183,,java,broken,0,java-ant,"",false,,,,,,,,,"",,57.49
,,55140588,,java,broken,3,java-ant,"",false,,,,,,,,,"",,101
,,55140589,,java,broken,3,java-ant,"",false,,,,,,,,,"",,67
,,55141029,,java,broken,3,java-ant,"",false,,,,,,,,,"",,108
,,55141030,,java,broken,13,java-ant,"",false,,,,,,,,,"",,62
,,55141114,,java,broken,3,java-ant,"",false,,,,,,,,,"",,89
,,55141115,,java,broken,4,java-ant,"",false,,,,,,,,,"",,75
,,55141694,,java,broken,3,java-ant,"",false,,,,,,,,,"",,94
,,55141695,,java,broken,3,java-ant,"",false,,,,,,,,,"",,60
,,55142298,,java,broken,3,java-ant,"",false,,,,,,,,,"",,99
,,55142299,,java,broken,3,java-ant,"",false,,,,,,,,,"",,58.45
,,55142301,,java,broken,0,java-ant,"",false,,,,,,,,,"",,77
,,55142302,,java,broken,0,java-ant,"",false,,,,,,,,,"",,56.82
,,55142664,,java,broken,4,java-ant,"",false,,,,,,,,,"",,85
,,55142665,,java,broken,4,java-ant,"",false,,,,,,,,,"",,61
,,55143835,,java,broken,3,java-ant,"",false,,,,,,,,,"",,81
,,55143837,,java,broken,3,java-ant,"",false,,,,,,,,,"",,71
,,55150195,,java,broken,3,java-ant,"",false,,,,,,,,,"",,78
,,55150196,,java,broken,3,java-ant,"",false,,,,,,,,,"",,67
,,55150198,,java,broken,0,java-ant,"",false,,,,,,,,,"",,119
,,55150199,,java,broken,0,java-ant,"",false,,,,,,,,,"",,59.59
,,55151184,,java,broken,3,java-ant,"",false,,,,,,,,,"",,89
,,55151185,,java,broken,3,java-ant,"",false,,,,,,,,,"",,78
,,55151187,,java,broken,0,java-ant,"",false,,,,,,,,,"",,86
,,55151188,,java,broken,0,java-ant,"",false,,,,,,,,,"",,56.75
,,55151324,,java,broken,3,java-ant,"",false,,,,,,,,,"",,128
,,55151325,,java,broken,3,java-ant,"",false,,,,,,,,,"",,61
,,55151788,,java,broken,3,java-ant,"",false,,,,,,,,,"",,90
,,55151789,,java,broken,3,java-ant,"",false,,,,,,,,,"",,64
,,55151924,,java,broken,4,java-ant,"",false,,,,,,,,,"",,75
,,55151925,,java,broken,3,java-ant,"",false,,,,,,,,,"",,78
,,55151927,,java,broken,0,java-ant,"",false,,,,,,,,,"",,90
,,55151928,,java,broken,0,java-ant,"",false,,,,,,,,,"",,64
,,55152845,,java,broken,4,java-ant,"",false,,,,,,,,,"",,573
,,55152849,,java,broken,0,java-ant,"",false,,,,,,,,,"",,570
,,55153236,,java,broken,3,java-ant,"",false,,,,,,,,,"",,549
,,55153895,,java,broken,3,java-ant,"",false,,,,,,,,,"",,511
,,55154364,,java,broken,3,java-ant,"",false,,,,,,,,,"",,108
,,55154365,,java,broken,3,java-ant,"",false,,,,,,,,,"",,65
,,55155972,,java,broken,3,java-ant,"",false,,,,,,,,,"",,510
,,55156293,,java,broken,3,java-ant,"",false,,,,,,,,,"",,500
,,55160170,,java,broken,3,java-ant,"",false,,,,,,,,,"",,474
,,55163556,,java,broken,3,java-ant,"",false,,,,,,,,,"",,462
,,55164616,,java,broken,3,java-ant,"",false,,,,,,,,,"",,488
,,55164964,,java,broken,3,java-ant,"",false,,,,,,,,,"",,452
,,55166363,,java,broken,3,java-ant,"",false,,,,,,,,,"",,524
,,55172189,,java,broken,3,java-ant,"",false,,,,,,,,,"",,418
,,55175855,,java,broken,3,java-ant,"",false,,,,,,,,,"",,524
,,55177176,,java,broken,3,java-ant,"",false,,,,,,,,,"",,507
,,55177795,,java,broken,3,java-ant,"",false,,,,,,,,,"",,512
,,55179550,,java,broken,4,java-ant,"",false,,,,,,,,,"",,92
,,55179552,,java,broken,4,java-ant,"",false,,,,,,,,,"",,84
,,55179556,,java,broken,0,java-ant,"",false,,,,,,,,,"",,504
,,55185652,,java,broken,3,java-ant,"",false,,,,,,,,,"",,503
,,55188290,,java,broken,3,java-ant,"",false,,,,,,,,,"",,455
,,55188369,,java,broken,0,java-ant,"",false,,,,,,,,,"",,421
,,55188700,,java,broken,3,java-ant,"",false,,,,,,,,,"",,531
,,55192999,,java,broken,6,java-ant,"",false,,,,,,,,,"",,567
,,55193924,,java,broken,3,java-ant,"",false,,,,,,,,,"",,485
,,55193931,,java,broken,1,java-ant,"",false,,,,,,,,,"",,511
,,55194565,,java,broken,3,java-ant,"",false,,,,,,,,,"",,579
,,55194567,,java,broken,0,java-ant,"",false,,,,,,,,,"",,436
,,55200991,,java,broken,3,java-ant,"",false,,,,,,,,,"",,527
,,55203372,,java,broken,3,java-ant,"",false,,,,,,,,,"",,557
,,55206066,,java,broken,3,java-ant,"",false,,,,,,,,,"",,539
,,55208713,,java,unknown,0,java-ant,"",false,,,,,,,,,"",,
,,55209150,,java,broken,6,java-ant,"",false,,,,,,,,,"",,397
,,55212480,,java,broken,3,java-ant,"",false,,,,,,,,,"",,437
,,55224037,,java,broken,3,java-ant,"",false,,,,,,,,,"",,509
,,55237226,,java,broken,4,java-ant,"",false,,,,,,,,,"",,446
,,55239933,,java,broken,3,java-ant,"",false,,,,,,,,,"",,446
,,55242809,,java,broken,3,java-ant,"",false,,,,,,,,,"",,451
,,55243107,,java,broken,3,java-ant,"",false,,,,,,,,,"",,440
,,55245778,,java,broken,3,java-ant,"",false,,,,,,,,,"",,532
,,55270982,,java,broken,3,java-ant,"",false,,,,,,,,,"",,511
,,55271906,,java,broken,3,java-ant,"",false,,,,,,,,,"",,460
,,55276401,,java,broken,3,java-ant,"",false,,,,,,,,,"",,386
,,55282528,,java,broken,3,java-ant,"",false,,,,,,,,,"",,397
,,55283607,,java,broken,3,java-ant,"",false,,,,,,,,,"",,475
,,55289414,,java,broken,3,java-ant,"",false,,,,,,,,,"",,425
,,55294593,,java,broken,4,java-ant,"",false,,,,,,,,,"",,413
,,55297941,,java,broken,3,java-ant,"",false,,,,,,,,,"",,472
,,55307126,,java,broken,3,java-ant,"",false,,,,,,,,,"",,455
,,55316548,,java,broken,3,java-ant,"",false,,,,,,,,,"",,410
,,55326720,,java,broken,3,java-ant,"",false,,,,,,,,,"",,430
,,55328734,,java,broken,3,java-ant,"",false,,,,,,,,,"",,429
,,55329031,,java,broken,4,java-ant,"",false,,,,,,,,,"",,440
,,55330615,,java,broken,3,java-ant,"",false,,,,,,,,,"",,429
,,55450693,,java,broken,3,java-ant,"",false,,,,,,,,,"",,495
