,Tag,Sha,Date,Tag_number,month,year,major_version
26,6.7.1,426519346f51f7b980a76f9050f983110550509d,2017-12-20 16:32:02,6.7.1,12,2017,6
25,6.7.2,e3ae3ad6546d35ab9eb7c244352a58eea0a2f124,2018-02-22 16:56:57,6.7.2,2,2018,6
24,6.7.3,baa823c2ae6ed4dd406b2ef12bc5ac6201e466f9,2018-04-06 14:12:21,6.7.3,4,2018,6
23,6.7.4,b62b59da1adf991c41ed0730684f813d4116f6cc,2018-05-30 07:23:04,6.7.4,5,2018,6
22,6.7.5,ec8ab77fa180a9edaf664075e8e76ae0b4a2d9f1,2018-08-06 10:17:09,6.7.5,8,2018,6
21,6.7.6,302f75de1ec5df6e983970f3c76b86ee02b1cd26,2018-11-19 15:51:14,6.7.6,11,2018,6
20,6.7.7,4aa6d928f960303eb990d50c275513a517c85e69,2019-04-16 15:38:04,6.7.7,4,2019,6
18,7.0,3b827a9a9a4b133c9fbe168aec8db44d78efeaeb,2018-02-02 12:20:31,7.0,2,2018,7
19,7.0-RC1,b19047de0e815b1c6474770e8bc0fff41daa4d01,2018-01-24 14:36:36,7.0,1,2018,7
0,7.1,ecdde3879059a41f229782061bdad49677dd63f8,2018-03-23 20:20:52,7.1,3,2018,7
1,7.2,d7828ea4d821aaceedd431004c83a196cea8b38a,2018-06-13 20:20:50,7.2,6,2018,7
2,7.3,87c1e3d93bf8a583932c11d4e1b740e91f80ffa0,2018-07-20 20:21:18,7.3,7,2018,7
3,7.4,86937350807da2beb38dcd4216eafea0009fb99f,2018-08-03 20:21:25,7.4,8,2018,7
17,7.5,cb851ba202973bd468e070572c1e3b0b0437d2f4,2018-12-18 09:56:40,7.5,12,2018,7
16,7.6,c2edd480f08c8a692757df5ce6c89cddb566b666,2019-01-21 15:04:13,7.6,1,2019,7
15,7.7,69bc562d207053ef21afd12c8bc9c5217b50227a,2019-03-19 16:29:12,7.7,3,2019,7
14,7.8,870ae4efbf5dcdbe59295eb5827b55a6a74c7b89,2019-06-18 09:08:04,7.8,6,2019,7
13,7.9,6502ec4ffee7e5a57498baaf330b80eb490d01c2,2019-07-01 07:56:26,7.9,7,2019,7
12,7.9.1,6818fad17ba67e97d395a8488d5412e00892d5e1,2019-07-10 12:20:33,7.9.1,7,2019,7
11,7.9.2,5832fefc31f5ba25f15b3fa66ed816f7b87fd835,2019-12-09 13:03:50,7.9.2,12,2019,7
10,7.9.3,898a79cc7df01a9603c17f92b93e46ec62bc77d2,2020-03-24 07:49:27,7.9.3,3,2020,7
9,7.9.4,2f8d99a55899105cbf3e3170194c614c2a6ea4d7,2020-07-23 14:40:10,7.9.4,7,2020,7
8,8.0,87ca68d63f4afd37d74b2f454430dfde9e862c6a,2019-10-15 08:15:12,8.0,10,2019,8
7,8.1.0.31237,65a7a7c34de5bff9aed7c3e58eb6dcc87ae34b57,2019-12-17 12:29:34,8.1.0.31237,12,2019,8
6,8.2.0.32929,749367809478e5b7f60c6ef952436db9789b5882,2020-02-25 14:32:24,8.2.0.32929,2,2020,8
5,8.3.0.34182,9c58e36328ae79ad3c36c13aa253879351ce3613,2020-04-28 13:54:13,8.3.0.34182,4,2020,8
4,8.3.1.34397,b77ce511a2039330aea8832ad12e86a8cfa9ff7d,2020-05-07 12:09:22,8.3.1.34397,5,2020,8
3,8.4.0.35506,74b4533439f380827d68e8c01667eeaecad89fc7,2020-07-03 07:09:27,8.4.0.35506,7,2020,8
2,8.4.1.35646,a0d372f704998d38856c26e28662fd7de062f873,2020-07-14 08:13:18,8.4.1.35646,7,2020,8
1,8.4.2.36762,2de1f343e3dbd9e88007b42e475512677c04eb8a,2020-08-27 14:11:31,8.4.2.36762,8,2020,8
