,from_tag,from_author_date,ahead_by,behind_by,from_sha,to_sha,to_tag,to_author_date,ahead_behind_sum,diff_author_dates,diff_author_days,from_commit_date,to_commit_date,diff_commit_dates,diff_commit_days,n_jobs,n_builds,n_merge_jobs,n_pull_request_jobs,Tag,jira_version,version_name,post_release_bugs,pre_release_bugs,pre_release_after_tagging_bugs,dde,critical_post_release_bugs,minor_post_release_bugs,fix_time
18,5.3-RC2,2015-12-17 16:02:01,7,0,29a84111f6cc9298f83df515830ff40a41d0976c,e735681d1b11ff0e90c254a3b5302e290ffa05a6,5.3-RC3,2016-01-07 13:18:48,7,20 days 21:16:47,20.886655092592594,2015-12-17 17:02:01,2016-01-07 14:18:48,20 days 21:16:47,20.886655092592594,81,9,0,36,,,,,,,,,,
19,5.3-RC2,2015-12-17 16:02:01,53,0,29a84111f6cc9298f83df515830ff40a41d0976c,d7ea0a8b14b8649144f7bfbff055f207d954d6c9,5.4-M2,2015-12-28 12:01:19,53,10 days 19:59:18,10.832847222222224,2015-12-17 17:02:01,2015-12-28 13:01:19,10 days 19:59:18,10.832847222222224,630,70,0,144,,,,,,,,,,
20,5.3-RC3,2016-01-07 13:18:48,2,0,e735681d1b11ff0e90c254a3b5302e290ffa05a6,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1,5.3,2016-01-08 10:09:15,2,0 days 20:50:27,0.8683680555555555,2016-01-07 14:18:48,2016-01-08 11:09:15,0 days 20:50:27,0.8683680555555555,18,2,0,0,5.3,5.3,5.3,23.0,3.0,3.0,0.1153846153846154,1.0,2.0,-147.19535669191922
21,5.4-M10,2016-01-28 16:10:59,37,0,bea2847df13b73c7364193419873e3e8b47b5b73,84d4f441879de01734bb9041fc0cdfbd461386ee,5.4-M11,2016-02-01 14:45:36,37,3 days 22:34:37,3.9407060185185183,2016-01-28 17:10:59,2016-02-01 16:45:10,3 days 23:34:11,3.9820717592592594,279,31,0,162,,,,,,,,,,
22,5.4-M11,2016-02-01 14:45:36,61,0,84d4f441879de01734bb9041fc0cdfbd461386ee,ca8c711145a11e61a3c6571cef38cf8d53b5d423,5.4-M12,2016-02-03 12:52:05,61,1 days 22:06:29,1.9211689814814812,2016-02-01 16:45:10,2016-02-04 10:10:10,2 days 17:25:00,2.7256944444444446,441,49,0,72,,,,,,,,,,
23,5.4-M12,2016-02-03 12:52:05,28,0,ca8c711145a11e61a3c6571cef38cf8d53b5d423,27858608f46ae9f1cd2c2269151e68f56f882417,5.4-M13,2016-02-05 10:17:45,28,1 days 21:25:40,1.892824074074074,2016-02-04 10:10:10,2016-02-05 11:43:32,1 days 01:33:22,1.064837962962963,261,29,0,144,,,,,,,,,,
24,5.4-M13,2016-02-05 10:17:45,22,0,27858608f46ae9f1cd2c2269151e68f56f882417,6bb02b28a33282bda2b9ed6bc995a4aee68ff172,5.4-RC1,2016-02-09 11:54:50,22,4 days 01:37:05,4.067418981481482,2016-02-05 11:43:32,2016-02-09 12:54:50,4 days 01:11:18,4.049513888888889,198,22,0,27,,,,,,,,,,
25,5.4-M14,2016-02-11 09:49:41,9,0,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,e8f951d9f2a99975e31f82d97fce68f47e9242d3,5.4-RC2,2016-02-15 15:38:37,9,4 days 05:48:56,4.242314814814815,2016-02-11 14:28:21,2016-02-15 16:38:37,4 days 02:10:16,4.090462962962963,45,5,0,27,,,,,,,,,,
26,5.4-M2,2015-12-28 12:01:19,17,0,d7ea0a8b14b8649144f7bfbff055f207d954d6c9,0fddc5fa4ea33882b60e072eee51f0e1ea585b4c,5.4-M3,2016-01-06 09:52:46,17,8 days 21:51:27,8.910729166666666,2015-12-28 13:01:19,2016-01-06 10:52:57,8 days 21:51:38,8.910856481481481,234,26,0,18,,,,,,,,,,
27,5.4-M3,2016-01-06 09:52:46,40,0,0fddc5fa4ea33882b60e072eee51f0e1ea585b4c,eaf7b87bb681e86ebef1778039de929c211b1f99,5.4-M4,2016-01-12 10:43:56,40,6 days 00:51:10,6.035532407407408,2016-01-06 10:52:57,2016-01-12 11:43:56,6 days 00:50:59,6.035405092592592,360,40,0,54,,,,,,,,,,
28,5.4-M4,2016-01-12 10:43:56,40,0,eaf7b87bb681e86ebef1778039de929c211b1f99,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,5.4-M5,2016-01-14 07:41:56,40,1 days 20:58:00,1.8736111111111111,2016-01-12 11:43:56,2016-01-14 08:41:56,1 days 20:58:00,1.8736111111111111,288,32,0,234,,,,,,,,,,
29,5.4-M5,2016-01-14 07:41:56,15,0,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,868e4d9403268e0f17235e1993496e92cb8883be,5.4-M6,2016-01-15 08:27:52,15,1 days 00:45:56,1.0318981481481482,2016-01-14 08:41:56,2016-01-15 09:27:58,1 days 00:46:02,1.0319675925925926,126,14,0,0,,,,,,,,,,
30,5.4-M6,2016-01-15 08:27:52,5,0,868e4d9403268e0f17235e1993496e92cb8883be,366217e521da38a4b17f7e6ada0f4d6612475580,5.4-M7,2016-01-14 10:05:29,5,-1 days +01:37:37,-0.932210648148148,2016-01-15 09:27:58,2016-01-15 12:19:47,0 days 02:51:49,0.11931712962962965,54,6,0,36,,,,,,,,,,
31,5.4-M7,2016-01-14 10:05:29,23,0,366217e521da38a4b17f7e6ada0f4d6612475580,162d76a0e6964f1d42069b42ce0362fedd151f75,5.4-M8,2016-01-18 08:43:40,23,3 days 22:38:11,3.94318287037037,2016-01-15 12:19:47,2016-01-18 18:35:44,3 days 06:15:57,3.2610763888888887,180,20,0,144,,,,,,,,,,
