,issue_id,subtask_key,subtask_id
636,28885,SONAR-6101,26850
637,28885,SONAR-6102,26849
638,28885,SONAR-6104,26851
639,28885,SONAR-6163,27921
640,28885,SONAR-6164,27919
641,28885,SONAR-6165,27915
642,28885,SONAR-6166,27923
643,27545,SONAR-5351,27315
644,27545,SONAR-5352,26702
645,27545,SONAR-5353,27422
646,27545,SONAR-5354,26710
647,27545,SONAR-5355,27404
648,27545,SONAR-5356,26713
649,27545,SONAR-5357,26719
650,27545,SONAR-5358,26718
651,27545,SONAR-5369,27274
652,27545,SONAR-5376,26843
653,27545,SONAR-5380,26838
654,27545,SONAR-5397,27336
655,28562,SONAR-5012,27319
656,28562,SONAR-5133,27496
657,28562,SONAR-5134,27787
658,28562,SONAR-5135,27011
659,28562,SONAR-5136,27153
660,28562,SONAR-5137,28442
661,28562,SONAR-5164,27325
662,28562,SONAR-5237,28469
663,28562,SONAR-5238,28464
664,28562,SONAR-5241,28466
665,28562,SONAR-5242,28473
666,28562,SONAR-5244,28488
667,28562,SONAR-5246,28468
668,28562,SONAR-5342,26617
669,28114,SONAR-5098,27314
670,28114,SONAR-5099,27317
671,28114,SONAR-5100,27309
672,28114,SONAR-5102,27308
673,32019,SONAR-4901,31921
674,27481,SONAR-5084,27295
675,27481,SONAR-5085,27291
676,27481,SONAR-5086,27282
677,27481,SONAR-5087,27297
678,27481,SONAR-5088,27287
679,31893,SONAR-4832,31901
680,31893,SONAR-4858,31900
681,31893,SONAR-4859,31910
682,31893,SONAR-4860,31015
683,32459,SONAR-4891,31940
684,32459,SONAR-4892,31930
685,32459,SONAR-4893,31918
686,32459,SONAR-4895,31965
687,32459,SONAR-4897,31958
688,32459,SONAR-4917,31955
689,31873,SONAR-4758,31851
690,31873,SONAR-4759,31843
691,31873,SONAR-4760,31834
692,31873,SONAR-4761,31846
693,31873,SONAR-4762,31836
694,31873,SONAR-4763,31890
695,32441,SONAR-4611,30987
696,32441,SONAR-4612,31831
697,32441,SONAR-4613,31812
698,32441,SONAR-4614,31791
699,32441,SONAR-4615,31741
700,32441,SONAR-4663,31830
701,32441,SONAR-4664,31774
702,32441,SONAR-4665,31787
703,32441,SONAR-4666,31775
704,32441,SONAR-4667,31582
705,32441,SONAR-4668,31773
