,from_author_date,to_author_date,from_tag,to_tag,ahead_by,behind_by,from_sha,to_sha,ahead_behind_sum,diff_author_dates,diff_author_days,from_commit_date,to_commit_date,diff_commit_dates,diff_commit_days
1077,2018-08-06 10:17:09,2018-11-19 15:51:14,6.7.5,6.7.6,16,0,ec8ab77fa180a9edaf664075e8e76ae0b4a2d9f1,302f75de1ec5df6e983970f3c76b86ee02b1cd26,16,105 days 05:34:05,105.23200231481482,2018-08-06 12:17:09,2018-11-19 17:49:11,105 days 05:32:02,105.23057870370371
1116,2018-11-19 15:51:14,2019-04-16 15:38:04,6.7.6,6.7.7,12,0,302f75de1ec5df6e983970f3c76b86ee02b1cd26,4aa6d928f960303eb990d50c275513a517c85e69,12,147 days 23:46:50,147.99085648148147,2018-11-19 17:49:11,2019-04-16 17:38:04,147 days 23:48:53,147.9922800925926
1194,2018-02-02 12:20:31,2018-03-23 20:20:52,7.0,7.1,315,0,3b827a9a9a4b133c9fbe168aec8db44d78efeaeb,ecdde3879059a41f229782061bdad49677dd63f8,315,49 days 08:00:21,49.33357638888889,2018-02-02 13:20:31,2018-03-23 20:20:52,49 days 07:00:21,49.29190972222222
1233,2018-03-23 20:20:52,2018-06-13 20:20:50,7.1,7.2,500,0,ecdde3879059a41f229782061bdad49677dd63f8,d7828ea4d821aaceedd431004c83a196cea8b38a,500,81 days 23:59:58,81.99997685185187,2018-03-23 20:20:52,2018-06-13 20:20:50,81 days 23:59:58,81.99997685185187
1271,2018-06-13 20:20:50,2018-07-20 20:21:18,7.2,7.3,228,0,d7828ea4d821aaceedd431004c83a196cea8b38a,87c1e3d93bf8a583932c11d4e1b740e91f80ffa0,228,37 days 00:00:28,37.000324074074065,2018-06-13 20:20:50,2018-07-20 20:21:18,37 days 00:00:28,37.000324074074065
1308,2018-07-20 20:21:18,2018-08-03 20:21:25,7.3,7.4,101,0,87c1e3d93bf8a583932c11d4e1b740e91f80ffa0,86937350807da2beb38dcd4216eafea0009fb99f,101,14 days 00:00:07,14.000081018518516,2018-07-20 20:21:18,2018-08-03 20:21:25,14 days 00:00:07,14.000081018518516
1344,2018-08-03 20:21:25,2018-12-18 09:56:40,7.4,7.5,657,0,86937350807da2beb38dcd4216eafea0009fb99f,cb851ba202973bd468e070572c1e3b0b0437d2f4,657,136 days 13:35:15,136.56614583333334,2018-08-03 20:21:25,2018-12-20 11:41:48,138 days 15:20:23,138.6391550925926
1379,2018-12-18 09:56:40,2019-01-21 15:04:13,7.5,7.6,243,0,cb851ba202973bd468e070572c1e3b0b0437d2f4,c2edd480f08c8a692757df5ce6c89cddb566b666,243,34 days 05:07:33,34.21357638888889,2018-12-20 11:41:48,2019-01-21 20:21:01,32 days 08:39:13,32.36056712962963
1413,2019-01-21 15:04:13,2019-03-19 16:29:12,7.6,7.7,236,0,c2edd480f08c8a692757df5ce6c89cddb566b666,69bc562d207053ef21afd12c8bc9c5217b50227a,236,57 days 01:24:59,57.0590162037037,2019-01-21 20:21:01,2019-03-20 16:29:54,57 days 20:08:53,57.83950231481482
1446,2019-03-19 16:29:12,2019-06-18 09:08:04,7.7,7.8,509,0,69bc562d207053ef21afd12c8bc9c5217b50227a,870ae4efbf5dcdbe59295eb5827b55a6a74c7b89,509,90 days 16:38:52,90.6936574074074,2019-03-20 16:29:54,2019-06-18 20:21:07,90 days 03:51:13,90.16056712962965
1478,2019-06-18 09:08:04,2019-07-01 07:56:26,7.8,7.9,141,0,870ae4efbf5dcdbe59295eb5827b55a6a74c7b89,6502ec4ffee7e5a57498baaf330b80eb490d01c2,141,12 days 22:48:22,12.950254629629631,2019-06-18 20:21:07,2019-10-17 15:24:45,120 days 19:03:38,120.7941898148148
1509,2019-07-01 07:56:26,2019-07-10 12:20:33,7.9,7.9.1,17,0,6502ec4ffee7e5a57498baaf330b80eb490d01c2,6818fad17ba67e97d395a8488d5412e00892d5e1,17,9 days 04:24:07,9.183414351851852,2019-10-17 15:24:45,2019-10-17 15:24:48,0 days 00:00:03,3.472222222222222e-05
1512,2019-07-01 07:56:26,2019-10-15 08:15:12,7.9,8.0,415,1,6502ec4ffee7e5a57498baaf330b80eb490d01c2,87ca68d63f4afd37d74b2f454430dfde9e862c6a,416,106 days 00:18:46,106.0130324074074,2019-10-17 15:24:45,2019-10-15 11:52:16,-3 days +20:27:31,-2.1475578703703704
1539,2019-07-10 12:20:33,2020-03-24 07:49:27,7.9.1,7.9.3,30,0,6818fad17ba67e97d395a8488d5412e00892d5e1,898a79cc7df01a9603c17f92b93e46ec62bc77d2,30,257 days 19:28:54,257.8117361111111,2019-10-17 15:24:48,2020-03-24 20:03:32,159 days 04:38:44,159.1935648148148
1568,2020-03-24 07:49:27,2020-07-23 14:40:10,7.9.3,7.9.4,14,0,898a79cc7df01a9603c17f92b93e46ec62bc77d2,2f8d99a55899105cbf3e3170194c614c2a6ea4d7,14,121 days 06:50:43,121.2852199074074,2020-03-24 20:03:32,2020-07-23 20:05:45,121 days 00:02:13,121.00153935185185
1623,2019-10-15 08:15:12,2019-12-17 12:29:34,8.0,8.1.0.31237,196,0,87ca68d63f4afd37d74b2f454430dfde9e862c6a,65a7a7c34de5bff9aed7c3e58eb6dcc87ae34b57,196,63 days 04:14:22,63.176643518518524,2019-10-15 11:52:16,2019-12-17 15:52:53,63 days 04:00:37,63.16709490740741
1649,2019-12-17 12:29:34,2020-02-25 14:32:24,8.1.0.31237,8.2.0.32929,262,1,65a7a7c34de5bff9aed7c3e58eb6dcc87ae34b57,749367809478e5b7f60c6ef952436db9789b5882,263,70 days 02:02:50,70.08530092592592,2019-12-17 15:52:53,2020-02-26 10:41:20,70 days 18:48:27,70.78364583333334
1674,2020-02-25 14:32:24,2020-04-28 13:54:13,8.2.0.32929,8.3.0.34182,180,0,749367809478e5b7f60c6ef952436db9789b5882,9c58e36328ae79ad3c36c13aa253879351ce3613,180,62 days 23:21:49,62.97348379629629,2020-02-26 10:41:20,2020-04-28 20:03:32,62 days 09:22:12,62.39041666666667
1698,2020-04-28 13:54:13,2020-05-07 12:09:22,8.3.0.34182,8.3.1.34397,3,0,9c58e36328ae79ad3c36c13aa253879351ce3613,b77ce511a2039330aea8832ad12e86a8cfa9ff7d,3,8 days 22:15:09,8.9271875,2020-04-28 20:03:32,2020-05-08 10:59:30,9 days 14:55:58,9.622199074074073
1699,2020-04-28 13:54:13,2020-07-03 07:09:27,8.3.0.34182,8.4.0.35506,241,0,9c58e36328ae79ad3c36c13aa253879351ce3613,74b4533439f380827d68e8c01667eeaecad89fc7,241,65 days 17:15:14,65.71891203703704,2020-04-28 20:03:32,2020-07-03 20:05:22,66 days 00:01:50,66.00127314814813
1743,2020-07-03 07:09:27,2020-07-14 08:13:18,8.4.0.35506,8.4.1.35646,6,0,74b4533439f380827d68e8c01667eeaecad89fc7,a0d372f704998d38856c26e28662fd7de062f873,6,11 days 01:03:51,11.044340277777776,2020-07-03 20:05:22,2020-07-14 12:11:47,10 days 16:06:25,10.671122685185184
1764,2020-07-14 08:13:18,2020-08-27 14:11:31,8.4.1.35646,8.4.2.36762,4,0,a0d372f704998d38856c26e28662fd7de062f873,2de1f343e3dbd9e88007b42e475512677c04eb8a,4,44 days 05:58:13,44.24876157407408,2020-07-14 12:11:47,2020-08-28 11:43:56,44 days 23:32:09,44.98065972222222
