,from_tag,from_date,from_sha,to_sha,ahead_by,behind_by,to_tag,to_date,diff_dates,diff_days
1201,5.6.6,2017-02-16 20:34:26,05221592672b903c703c0424dc77458e615c106d,3de1bdeb3255fedc75885313205143f28aa89e9c,10,0,5.6.7,2017-09-25 10:46:49,220 days 14:12:23,220.5919328703704
1105,6.0,2016-08-03 09:19:42,8fd98eebd4c693bedae9c2ce45d6edc9ff2830fa,12e24a98549f51fc560d782a9d93164021feaccc,564,0,6.1-RC1,2016-09-19 14:58:22,47 days 05:38:40,47.23518518518519
1163,6.0-RC1,2016-07-20 08:30:19,41affbb82c5e897eea64f77538ce4b20322ba61c,f6e1edf894578320cfad5ef62e9820a10026238a,18,0,6.0-RC2,2016-07-29 08:11:06,8 days 23:40:47,8.986655092592592
1144,6.0-RC2,2016-07-29 08:11:06,f6e1edf894578320cfad5ef62e9820a10026238a,8fd98eebd4c693bedae9c2ce45d6edc9ff2830fa,9,0,6.0,2016-08-03 09:19:42,5 days 01:08:36,5.047638888888889
1085,6.1,2016-10-11 07:02:29,442f1a11b2365618f58f3f456a756995a6318225,6a70cefe40b1b8127eb4e7ef3436a5c43fe938b4,4,0,6.1.1,2016-11-17 19:45:38,37 days 12:43:09,37.529965277777784
1125,6.1-RC1,2016-09-19 14:58:22,12e24a98549f51fc560d782a9d93164021feaccc,879e50736fb84d12259e23bd8ea0d2293dc43046,24,0,6.1-RC2,2016-10-03 07:39:32,13 days 16:41:10,13.69525462962963
1064,6.1-RC2,2016-10-03 07:39:32,879e50736fb84d12259e23bd8ea0d2293dc43046,442f1a11b2365618f58f3f456a756995a6318225,4,0,6.1,2016-10-11 07:02:29,7 days 23:22:57,7.974270833333334
1044,6.1.1,2016-11-17 19:45:38,6a70cefe40b1b8127eb4e7ef3436a5c43fe938b4,e50f57556a830a9d0d527f68e6c106192acaa4b9,627,0,6.2-RC1,2016-11-21 11:08:08,3 days 15:22:30,3.640625
960,6.2,2016-12-13 15:05:23,4a28f29f95254b58f3cf0a0871bc632e998403f5,8a667b2e3358144ea6d0affaf7673ebd290b0b78,21,0,6.2.1,2017-01-16 16:00:20,34 days 00:54:57,34.038159722222225
1023,6.2-RC1,2016-11-21 11:08:08,e50f57556a830a9d0d527f68e6c106192acaa4b9,b7608b6a0818d0b4372681d3cd224a930eb80410,49,0,6.2-RC2,2016-12-02 07:39:58,10 days 20:31:50,10.855439814814815
