,issue_id,component_name,component_id
439,93785,Scanner,11105
440,93681,Compute Engine,11118
441,93681,Scanner,11105
442,93657,Web,11366
443,93654,Web,11366
444,93650,Branch & PR,11094
445,93649,Portfolio & Application,12272
446,93649,Web,11366
447,93606,Compute Engine,11118
448,93562,Web API,11100
449,93546,Web,11366
450,93522,Quality Gate,11101
451,93522,Web API,11100
452,93509,Web,11366
453,93509,Web API,11100
454,93508,Web,11366
455,93507,Documentation,11067
456,93493,Portfolio & Application,12272
457,93493,UX/UI,11968
458,93489,ElasticSearch,11119
459,93489,Web,11366
460,93489,Web API,11100
461,93480,Branch & PR,11094
462,93480,Quality Gate,11101
463,93434,Web,11366
464,93405,UX/UI,11968
465,93404,Settings,11891
466,93403,Web,11366
467,93379,Web,11366
468,93320,Compute Engine,11118
469,93318,Web,11366
470,93307,Marketplace,12172
471,93307,Web API,11100
472,93279,Authentication & Authorization,11086
473,93279,Web API,11100
474,93278,Custom Measure[DEPRECATED],11083
475,93278,Web API,11100
476,93276,Compute Engine,11118
477,93275,Authentication & Authorization,11086
478,93273,Activity,11062
479,93273,Web,11366
480,93217,Database,11077
481,93216,Web,11366
482,93062,UX/UI,11968
483,93062,Web,11366
484,93058,Quality Gate,11101
485,93058,Web,11366
486,93050,Authentication & Authorization,11086
487,93046,Plugin API,11065
488,93028,ElasticSearch,11119
489,93028,Telemetry,12092
490,93028,Web API,11100
491,93020,Branch & PR,11094
492,92996,Branch & PR,11094
493,92996,Markdown,11090
494,92996,Security Hotspots,12573
495,92984,ElasticSearch,11119
496,92977,Web,11366
497,92977,Web API,11100
498,92974,Web,11366
499,92962,Security Hotspots,12573
500,92962,Web API,11100
501,92957,Plugin API,11065
502,92956,Scanner,11105
503,92944,Web API,11100
504,92936,Web,11366
505,92900,Database,11077
506,92900,Web API,11100
507,92887,Web,11366
508,92886,Compute Engine,11118
509,92859,Issues,11096
510,92846,Measures,11112
511,92846,Security Hotspots,12573
512,92781,UX/UI,11968
513,92781,Web,11366
514,92778,Security Hotspots,12573
515,92778,Web,11366
516,92769,Scanner,11105
517,92745,Web,11366
518,92726,Portfolio & Application,12272
519,92724,Settings,11891
520,92724,Web,11366
521,92723,Scanner,11105
522,92689,UX/UI,11968
523,92689,Web,11366
524,92683,Web,11366
525,92680,Issues,11096
526,92680,Web API,11100
527,92679,Quality Profile,11074
528,92679,UX/UI,11968
529,92679,Web,11366
530,92679,Web API,11100
531,92677,Web,11366
532,92666,Web,11366
533,92661,Portfolio & Application,12272
534,92661,Web,11366
535,92661,Web API,11100
536,92659,Web,11366
537,92624,Documentation,11067
538,92599,Compute Engine,11118
539,92599,Database,11077
540,92589,Web,11366
541,92583,Web,11366
542,92572,Documentation,11067
543,92572,Measures,11112
544,92562,Portfolio & Application,12272
545,92562,Security Hotspots,12573
546,92520,Security Hotspots,12573
547,92520,Web,11366
548,92519,Web,11366
549,92518,Portfolio & Application,12272
550,92518,Web,11366
551,92511,Security Hotspots,12573
552,92511,Web,11366
553,92511,Web API,11100
554,92510,Web,11366
555,92510,Web API,11100
556,92509,Web API,11100
557,92467,Issues,11096
558,92467,Web,11366
559,92440,Web,11366
560,92428,Compute Engine,11118
561,92428,Portfolio & Application,12272
562,92408,Web,11366
563,92403,Security Hotspots,12573
564,92403,Settings,11891
565,92382,Web,11366
566,92374,Web,11366
567,92370,Notifications,11064
568,92370,Portfolio & Application,12272
569,92365,Web,11366
570,92358,Branch & PR,11094
571,92356,ElasticSearch,11119
572,92356,Issues,11096
573,92356,Scalability,11114
574,92351,Documentation,11067
575,92349,Web,11366
576,92336,Security Hotspots,12573
577,92336,Web,11366
578,92304,Scanner,11105
579,92294,Compute Engine,11118
580,92285,UX/UI,11968
581,92248,Authentication & Authorization,11086
582,92233,Security Hotspots,12573
583,92231,Web,11366
584,92230,UX/UI,11968
585,92228,Web,11366
586,92184,Web,11366
587,92178,Branch & PR,11094
588,92162,Exclusions/Inclusions,11084
589,92162,Scanner,11105
590,92158,Portfolio & Application,12272
591,92158,Security Hotspots,12573
592,92158,Web,11366
593,92132,UX/UI,11968
594,92126,Web,11366
595,92115,Documentation,11067
596,92100,Web,11366
597,92063,Scanner,11105
598,92038,Component Viewer,11113
599,92038,Web,11366
600,92000,Branch & PR,11094
601,92000,Settings,11891
602,92000,Web,11366
603,91979,Security Hotspots,12573
604,91979,Web,11366
605,91909,Portfolio & Application,12272
606,91909,Web,11366
607,91903,Web,11366
608,91903,Web API,11100
609,91881,Web,11366
610,91873,Security Hotspots,12573
611,91873,Web,11366
612,91873,Web API,11100
613,91834,Rules,11073
614,91787,Web,11366
615,91766,Security Hotspots,12573
616,91766,Web,11366
617,91766,Web API,11100
618,91763,Web,11366
619,91762,Web,11366
620,91757,Documentation,11067
621,91756,Documentation,11067
622,91732,Web,11366
623,91728,Web,11366
624,91724,UX/UI,11968
625,91712,Security Hotspots,12573
626,91712,Web,11366
627,91679,Web,11366
628,91654,Web,11366
629,91623,Quality Gate,11101
630,91623,Security Hotspots,12573
631,91621,Measures,11112
632,91621,Security Hotspots,12573
633,91620,Security Hotspots,12573
634,91619,Branch & PR,11094
635,91619,Security Hotspots,12573
636,91618,Portfolio & Application,12272
637,91618,Security Hotspots,12573
638,91617,ElasticSearch,11119
639,91617,Security Hotspots,12573
640,91616,Measures,11112
641,91616,Portfolio & Application,12272
642,91616,Security Hotspots,12573
643,91611,Documentation,11067
644,91608,Settings,11891
645,91574,Security Hotspots,12573
646,91574,Web,11366
647,91572,Database,11077
648,91549,Documentation,11067
649,91530,Security Hotspots,12573
650,91530,Web,11366
651,91526,Project Export,12373
652,91523,Security Hotspots,12573
653,91523,Web,11366
654,91516,Web,11366
655,91515,Portfolio & Application,12272
