,actual_release_date,Tag,Sha,Date,month,year,major_version,jira_version
45,2019-01-28 00:00:00,7.6,c2edd480f08c8a692757df5ce6c89cddb566b666,2019-01-21 15:04:13,1,2019,7,7.6
46,2019-03-20 00:00:00,7.7,69bc562d207053ef21afd12c8bc9c5217b50227a,2019-03-19 16:29:12,3,2019,7,7.7
47,2019-06-19 00:00:00,7.8,870ae4efbf5dcdbe59295eb5827b55a6a74c7b89,2019-06-18 09:08:04,6,2019,7,7.8
48,2019-07-01 00:00:00,7.9,6502ec4ffee7e5a57498baaf330b80eb490d01c2,2019-07-01 07:56:26,7,2019,7,7.9
49,,7.9.1,6818fad17ba67e97d395a8488d5412e00892d5e1,2019-07-10 12:20:33,7,2019,7,7.9.1
50,,7.9.3,898a79cc7df01a9603c17f92b93e46ec62bc77d2,2020-03-24 07:49:27,3,2020,7,7.9.3
51,,7.9.4,2f8d99a55899105cbf3e3170194c614c2a6ea4d7,2020-07-23 14:40:10,7,2020,7,7.9.4
52,2019-10-16 00:00:00,8.0,87ca68d63f4afd37d74b2f454430dfde9e862c6a,2019-10-15 08:15:12,10,2019,8,8.0
53,2019-12-16 00:00:00,8.1.0.31237,65a7a7c34de5bff9aed7c3e58eb6dcc87ae34b57,2019-12-17 12:29:34,12,2019,8,8.1
54,2020-02-26 00:00:00,8.2.0.32929,749367809478e5b7f60c6ef952436db9789b5882,2020-02-25 14:32:24,2,2020,8,8.2
